channel=MB fold=1 training_seed=42 epochs=50 batch_size=32 optimizer=AdamW lr=0.0001 weight_decay=0.0001 loss=CrossEntropyLoss scheduler=None early_stopping=False
epoch=001 loss=0.6516 acc=0.6143 sec=3.9
epoch=002 loss=0.5830 acc=0.7111 sec=2.8
epoch=003 loss=0.4966 acc=0.7513 sec=2.7
epoch=004 loss=0.3933 acc=0.8241 sec=2.7
epoch=005 loss=0.3125 acc=0.8731 sec=2.8
epoch=006 loss=0.2769 acc=0.8781 sec=2.7
epoch=007 loss=0.2379 acc=0.9020 sec=2.8
epoch=008 loss=0.1873 acc=0.9372 sec=2.7
epoch=009 loss=0.1648 acc=0.9397 sec=2.8
epoch=010 loss=0.1138 acc=0.9611 sec=2.8
epoch=011 loss=0.1216 acc=0.9535 sec=2.7
epoch=012 loss=0.0930 acc=0.9611 sec=2.7
epoch=013 loss=0.0814 acc=0.9711 sec=2.7
epoch=014 loss=0.0924 acc=0.9636 sec=2.8
epoch=015 loss=0.0978 acc=0.9560 sec=2.8
epoch=016 loss=0.0815 acc=0.9686 sec=2.8
epoch=017 loss=0.0544 acc=0.9812 sec=2.8
epoch=018 loss=0.0377 acc=0.9887 sec=2.7
epoch=019 loss=0.0438 acc=0.9874 sec=2.6
epoch=020 loss=0.0358 acc=0.9874 sec=2.7
epoch=021 loss=0.0539 acc=0.9849 sec=2.7
epoch=022 loss=0.0502 acc=0.9799 sec=2.8
epoch=023 loss=0.0474 acc=0.9849 sec=2.7
epoch=024 loss=0.0239 acc=0.9925 sec=2.8
epoch=025 loss=0.0351 acc=0.9862 sec=2.8
epoch=026 loss=0.0201 acc=0.9962 sec=2.7
epoch=027 loss=0.0364 acc=0.9912 sec=2.7
epoch=028 loss=0.0238 acc=0.9912 sec=2.9
epoch=029 loss=0.0218 acc=0.9950 sec=2.8
epoch=030 loss=0.0242 acc=0.9962 sec=2.8
epoch=031 loss=0.0287 acc=0.9912 sec=2.8
epoch=032 loss=0.0324 acc=0.9887 sec=2.8
epoch=033 loss=0.0382 acc=0.9887 sec=2.8
epoch=034 loss=0.0283 acc=0.9899 sec=2.7
epoch=035 loss=0.0590 acc=0.9799 sec=2.7
epoch=036 loss=0.0396 acc=0.9837 sec=2.7
epoch=037 loss=0.0337 acc=0.9887 sec=2.8
epoch=038 loss=0.0263 acc=0.9937 sec=2.7
epoch=039 loss=0.0366 acc=0.9887 sec=2.7
epoch=040 loss=0.0307 acc=0.9887 sec=2.8
epoch=041 loss=0.0432 acc=0.9837 sec=2.7
epoch=042 loss=0.0240 acc=0.9925 sec=2.7
epoch=043 loss=0.0150 acc=0.9962 sec=2.8
epoch=044 loss=0.0158 acc=0.9950 sec=2.6
epoch=045 loss=0.0129 acc=0.9975 sec=2.7
epoch=046 loss=0.0235 acc=0.9925 sec=2.7
epoch=047 loss=0.0234 acc=0.9925 sec=2.8
epoch=048 loss=0.0380 acc=0.9862 sec=2.7
epoch=049 loss=0.0325 acc=0.9912 sec=2.8
epoch=050 loss=0.0282 acc=0.9887 sec=2.8
