channel=MP fold=5 training_seed=2026 epochs=50 batch_size=32 optimizer=AdamW lr=0.0001 weight_decay=0.0001 loss=CrossEntropyLoss scheduler=None early_stopping=False
epoch=001 loss=0.6525 acc=0.5972 sec=3.0
epoch=002 loss=0.5780 acc=0.7089 sec=2.9
epoch=003 loss=0.5108 acc=0.7365 sec=2.7
epoch=004 loss=0.4034 acc=0.8218 sec=2.8
epoch=005 loss=0.3437 acc=0.8507 sec=2.9
epoch=006 loss=0.2979 acc=0.8833 sec=2.9
epoch=007 loss=0.2732 acc=0.8795 sec=2.8
epoch=008 loss=0.2040 acc=0.9260 sec=2.8
epoch=009 loss=0.1897 acc=0.9222 sec=2.8
epoch=010 loss=0.1194 acc=0.9523 sec=2.8
epoch=011 loss=0.1125 acc=0.9611 sec=2.9
epoch=012 loss=0.1195 acc=0.9598 sec=2.8
epoch=013 loss=0.0931 acc=0.9686 sec=2.8
epoch=014 loss=0.0808 acc=0.9699 sec=2.8
epoch=015 loss=0.0770 acc=0.9711 sec=2.9
epoch=016 loss=0.0815 acc=0.9737 sec=2.9
epoch=017 loss=0.0567 acc=0.9824 sec=2.9
epoch=018 loss=0.0709 acc=0.9799 sec=2.8
epoch=019 loss=0.0481 acc=0.9849 sec=2.9
epoch=020 loss=0.0276 acc=0.9962 sec=2.9
epoch=021 loss=0.0341 acc=0.9875 sec=2.9
epoch=022 loss=0.0303 acc=0.9925 sec=2.8
epoch=023 loss=0.0232 acc=0.9912 sec=2.8
epoch=024 loss=0.0319 acc=0.9925 sec=2.8
epoch=025 loss=0.0313 acc=0.9912 sec=2.7
epoch=026 loss=0.0172 acc=0.9975 sec=2.7
epoch=027 loss=0.0189 acc=0.9962 sec=2.9
epoch=028 loss=0.0343 acc=0.9912 sec=2.7
epoch=029 loss=0.0323 acc=0.9849 sec=2.8
epoch=030 loss=0.0763 acc=0.9787 sec=2.7
epoch=031 loss=0.0601 acc=0.9762 sec=2.9
epoch=032 loss=0.0382 acc=0.9900 sec=2.7
epoch=033 loss=0.0249 acc=0.9887 sec=2.8
epoch=034 loss=0.0336 acc=0.9875 sec=2.8
epoch=035 loss=0.0407 acc=0.9862 sec=2.7
epoch=036 loss=0.0310 acc=0.9900 sec=2.7
epoch=037 loss=0.0395 acc=0.9900 sec=2.9
epoch=038 loss=0.0327 acc=0.9887 sec=2.8
epoch=039 loss=0.0164 acc=0.9937 sec=2.7
epoch=040 loss=0.0176 acc=0.9975 sec=2.8
epoch=041 loss=0.0110 acc=0.9975 sec=2.8
epoch=042 loss=0.0126 acc=0.9975 sec=2.8
epoch=043 loss=0.0104 acc=0.9975 sec=2.8
epoch=044 loss=0.0089 acc=0.9975 sec=2.8
epoch=045 loss=0.0184 acc=0.9950 sec=2.9
epoch=046 loss=0.0099 acc=0.9975 sec=2.7
epoch=047 loss=0.0374 acc=0.9900 sec=2.8
epoch=048 loss=0.0279 acc=0.9887 sec=2.9
epoch=049 loss=0.0444 acc=0.9799 sec=2.9
epoch=050 loss=0.0400 acc=0.9862 sec=2.9
