channel=MR fold=5 training_seed=42 epochs=50 batch_size=32 optimizer=AdamW lr=0.0001 weight_decay=0.0001 loss=CrossEntropyLoss scheduler=None early_stopping=False
epoch=001 loss=0.6384 acc=0.6336 sec=3.0
epoch=002 loss=0.5402 acc=0.7428 sec=2.8
epoch=003 loss=0.4487 acc=0.8018 sec=2.7
epoch=004 loss=0.3934 acc=0.8093 sec=2.7
epoch=005 loss=0.3462 acc=0.8444 sec=2.8
epoch=006 loss=0.3254 acc=0.8570 sec=2.7
epoch=007 loss=0.2716 acc=0.8833 sec=2.9
epoch=008 loss=0.2157 acc=0.9197 sec=2.7
epoch=009 loss=0.1644 acc=0.9348 sec=2.6
epoch=010 loss=0.1552 acc=0.9322 sec=2.8
epoch=011 loss=0.1393 acc=0.9536 sec=2.7
epoch=012 loss=0.0907 acc=0.9686 sec=2.8
epoch=013 loss=0.1298 acc=0.9511 sec=2.8
epoch=014 loss=0.0763 acc=0.9737 sec=2.8
epoch=015 loss=0.0493 acc=0.9799 sec=2.7
epoch=016 loss=0.0620 acc=0.9787 sec=2.8
epoch=017 loss=0.0583 acc=0.9824 sec=2.8
epoch=018 loss=0.0464 acc=0.9862 sec=2.7
epoch=019 loss=0.0480 acc=0.9799 sec=2.8
epoch=020 loss=0.0417 acc=0.9849 sec=2.8
epoch=021 loss=0.0441 acc=0.9862 sec=2.7
epoch=022 loss=0.0590 acc=0.9799 sec=2.8
epoch=023 loss=0.0318 acc=0.9887 sec=2.8
epoch=024 loss=0.0299 acc=0.9925 sec=2.8
epoch=025 loss=0.0359 acc=0.9887 sec=2.8
epoch=026 loss=0.0293 acc=0.9937 sec=2.8
epoch=027 loss=0.0483 acc=0.9849 sec=2.8
epoch=028 loss=0.0438 acc=0.9875 sec=2.7
epoch=029 loss=0.0342 acc=0.9849 sec=2.7
epoch=030 loss=0.0431 acc=0.9887 sec=2.8
epoch=031 loss=0.0555 acc=0.9774 sec=2.7
epoch=032 loss=0.0801 acc=0.9661 sec=2.8
epoch=033 loss=0.0667 acc=0.9749 sec=2.7
epoch=034 loss=0.0249 acc=0.9912 sec=2.7
epoch=035 loss=0.0321 acc=0.9862 sec=2.7
epoch=036 loss=0.0640 acc=0.9824 sec=2.9
epoch=037 loss=0.0218 acc=0.9950 sec=2.9
epoch=038 loss=0.0089 acc=1.0000 sec=2.7
epoch=039 loss=0.0124 acc=0.9975 sec=2.8
epoch=040 loss=0.0052 acc=1.0000 sec=2.8
epoch=041 loss=0.0084 acc=0.9975 sec=2.7
epoch=042 loss=0.0094 acc=0.9962 sec=2.8
epoch=043 loss=0.0064 acc=0.9987 sec=2.8
epoch=044 loss=0.0082 acc=0.9950 sec=2.8
epoch=045 loss=0.0055 acc=0.9987 sec=2.9
epoch=046 loss=0.0051 acc=0.9987 sec=2.8
epoch=047 loss=0.0093 acc=0.9962 sec=2.8
epoch=048 loss=0.0073 acc=0.9987 sec=2.7
epoch=049 loss=0.0050 acc=1.0000 sec=2.7
epoch=050 loss=0.0044 acc=0.9987 sec=2.7
