scheme=M_MB channels=M+MB fold=2 training_seed=3407 epochs=50 batch_size=32 optimizer=AdamW lr=0.0001 weight_decay=0.0001 loss=CrossEntropyLoss scheduler=None early_stopping=False input_channels=6
epoch=001 loss=0.6391 acc=0.6361 sec=4.0
epoch=002 loss=0.5350 acc=0.7302 sec=3.8
epoch=003 loss=0.4351 acc=0.8068 sec=3.8
epoch=004 loss=0.3307 acc=0.8494 sec=3.8
epoch=005 loss=0.2582 acc=0.8984 sec=3.8
epoch=006 loss=0.1923 acc=0.9247 sec=3.8
epoch=007 loss=0.1919 acc=0.9172 sec=3.7
epoch=008 loss=0.1815 acc=0.9260 sec=3.7
epoch=009 loss=0.1265 acc=0.9636 sec=3.7
epoch=010 loss=0.0991 acc=0.9661 sec=3.7
epoch=011 loss=0.0961 acc=0.9686 sec=3.6
epoch=012 loss=0.1152 acc=0.9586 sec=3.7
epoch=013 loss=0.0608 acc=0.9812 sec=3.7
epoch=014 loss=0.0739 acc=0.9686 sec=3.7
epoch=015 loss=0.0610 acc=0.9799 sec=3.6
epoch=016 loss=0.0674 acc=0.9774 sec=3.6
epoch=017 loss=0.0738 acc=0.9737 sec=3.8
epoch=018 loss=0.0451 acc=0.9849 sec=3.7
epoch=019 loss=0.0673 acc=0.9699 sec=3.6
epoch=020 loss=0.0724 acc=0.9711 sec=3.7
epoch=021 loss=0.0393 acc=0.9887 sec=3.8
epoch=022 loss=0.0357 acc=0.9887 sec=3.7
epoch=023 loss=0.0485 acc=0.9849 sec=3.7
epoch=024 loss=0.0350 acc=0.9887 sec=3.6
epoch=025 loss=0.0404 acc=0.9875 sec=3.8
epoch=026 loss=0.0177 acc=0.9950 sec=3.9
epoch=027 loss=0.0167 acc=0.9962 sec=3.9
epoch=028 loss=0.0100 acc=0.9987 sec=3.9
epoch=029 loss=0.0304 acc=0.9887 sec=3.8
epoch=030 loss=0.0385 acc=0.9875 sec=3.9
epoch=031 loss=0.0480 acc=0.9875 sec=3.7
epoch=032 loss=0.0232 acc=0.9937 sec=3.7
epoch=033 loss=0.0214 acc=0.9937 sec=3.7
epoch=034 loss=0.0189 acc=0.9950 sec=3.6
epoch=035 loss=0.0221 acc=0.9875 sec=3.8
epoch=036 loss=0.0703 acc=0.9837 sec=3.7
epoch=037 loss=0.0507 acc=0.9787 sec=3.7
epoch=038 loss=0.0600 acc=0.9762 sec=3.8
epoch=039 loss=0.0364 acc=0.9887 sec=3.7
epoch=040 loss=0.0374 acc=0.9849 sec=3.7
epoch=041 loss=0.0318 acc=0.9900 sec=3.6
epoch=042 loss=0.0155 acc=0.9950 sec=3.7
epoch=043 loss=0.0251 acc=0.9950 sec=3.6
epoch=044 loss=0.0208 acc=0.9937 sec=3.7
epoch=045 loss=0.0275 acc=0.9900 sec=3.7
epoch=046 loss=0.0123 acc=0.9975 sec=3.7
epoch=047 loss=0.0060 acc=1.0000 sec=3.6
epoch=048 loss=0.0056 acc=0.9987 sec=3.7
epoch=049 loss=0.0100 acc=0.9987 sec=3.7
epoch=050 loss=0.0072 acc=0.9975 sec=3.8
