channel=MR fold=3 training_seed=2026 epochs=50 batch_size=32 optimizer=AdamW lr=0.0001 weight_decay=0.0001 loss=CrossEntropyLoss scheduler=None early_stopping=False task=5class
epoch=001 loss=1.4617 acc=0.3225 sec=2.9
epoch=002 loss=1.2575 acc=0.4542 sec=2.8
epoch=003 loss=1.1377 acc=0.5257 sec=2.8
epoch=004 loss=1.0589 acc=0.5659 sec=2.8
epoch=005 loss=0.9264 acc=0.6198 sec=2.8
epoch=006 loss=0.8399 acc=0.6562 sec=2.7
epoch=007 loss=0.7084 acc=0.7227 sec=2.7
epoch=008 loss=0.6098 acc=0.7729 sec=2.8
epoch=009 loss=0.5066 acc=0.7980 sec=2.8
epoch=010 loss=0.4204 acc=0.8331 sec=2.8
epoch=011 loss=0.3648 acc=0.8645 sec=2.8
epoch=012 loss=0.3175 acc=0.8921 sec=2.8
epoch=013 loss=0.2558 acc=0.9122 sec=2.8
epoch=014 loss=0.2241 acc=0.9260 sec=2.8
epoch=015 loss=0.1891 acc=0.9423 sec=2.8
epoch=016 loss=0.1338 acc=0.9598 sec=2.8
epoch=017 loss=0.1592 acc=0.9511 sec=2.8
epoch=018 loss=0.1421 acc=0.9561 sec=2.7
epoch=019 loss=0.1055 acc=0.9711 sec=2.7
epoch=020 loss=0.0930 acc=0.9737 sec=2.8
epoch=021 loss=0.0763 acc=0.9762 sec=2.8
epoch=022 loss=0.0684 acc=0.9774 sec=2.8
epoch=023 loss=0.0592 acc=0.9875 sec=2.8
epoch=024 loss=0.0401 acc=0.9887 sec=2.8
epoch=025 loss=0.0534 acc=0.9875 sec=2.8
epoch=026 loss=0.0530 acc=0.9837 sec=2.8
epoch=027 loss=0.0347 acc=0.9912 sec=2.7
epoch=028 loss=0.0579 acc=0.9812 sec=2.7
epoch=029 loss=0.0665 acc=0.9837 sec=2.8
epoch=030 loss=0.0792 acc=0.9686 sec=2.8
epoch=031 loss=0.0693 acc=0.9762 sec=2.8
epoch=032 loss=0.0540 acc=0.9787 sec=2.7
epoch=033 loss=0.0652 acc=0.9774 sec=2.8
epoch=034 loss=0.0554 acc=0.9812 sec=2.7
epoch=035 loss=0.0453 acc=0.9824 sec=2.7
epoch=036 loss=0.0713 acc=0.9774 sec=2.8
epoch=037 loss=0.0708 acc=0.9799 sec=2.8
epoch=038 loss=0.0820 acc=0.9711 sec=2.8
epoch=039 loss=0.0686 acc=0.9762 sec=2.8
epoch=040 loss=0.0501 acc=0.9837 sec=2.8
epoch=041 loss=0.0312 acc=0.9950 sec=2.8
epoch=042 loss=0.0415 acc=0.9925 sec=2.8
epoch=043 loss=0.0470 acc=0.9862 sec=2.8
epoch=044 loss=0.0511 acc=0.9862 sec=2.8
epoch=045 loss=0.0290 acc=0.9912 sec=2.7
epoch=046 loss=0.0330 acc=0.9887 sec=2.8
epoch=047 loss=0.0362 acc=0.9900 sec=2.7
epoch=048 loss=0.0210 acc=0.9937 sec=2.8
epoch=049 loss=0.0364 acc=0.9887 sec=2.8
epoch=050 loss=0.0372 acc=0.9887 sec=2.7
