channel=MP fold=4 training_seed=3407 epochs=50 batch_size=32 optimizer=AdamW lr=0.0001 weight_decay=0.0001 loss=CrossEntropyLoss scheduler=None early_stopping=False task=5class
epoch=001 loss=1.4691 acc=0.3262 sec=3.0
epoch=002 loss=1.3507 acc=0.3814 sec=2.9
epoch=003 loss=1.2555 acc=0.4517 sec=2.9
epoch=004 loss=1.1331 acc=0.5383 sec=2.8
epoch=005 loss=1.0129 acc=0.5960 sec=2.8
epoch=006 loss=0.8815 acc=0.6637 sec=2.9
epoch=007 loss=0.7472 acc=0.7177 sec=2.7
epoch=008 loss=0.5917 acc=0.7817 sec=2.8
epoch=009 loss=0.5279 acc=0.8193 sec=2.8
epoch=010 loss=0.4583 acc=0.8319 sec=2.8
epoch=011 loss=0.3431 acc=0.8670 sec=2.9
epoch=012 loss=0.3032 acc=0.8959 sec=2.8
epoch=013 loss=0.2585 acc=0.9172 sec=2.8
epoch=014 loss=0.2213 acc=0.9210 sec=2.8
epoch=015 loss=0.1811 acc=0.9498 sec=2.8
epoch=016 loss=0.1700 acc=0.9423 sec=2.8
epoch=017 loss=0.1105 acc=0.9762 sec=2.8
epoch=018 loss=0.1191 acc=0.9624 sec=2.9
epoch=019 loss=0.0810 acc=0.9812 sec=2.8
epoch=020 loss=0.0926 acc=0.9787 sec=2.9
epoch=021 loss=0.1084 acc=0.9711 sec=2.9
epoch=022 loss=0.0641 acc=0.9849 sec=2.8
epoch=023 loss=0.0700 acc=0.9799 sec=2.8
epoch=024 loss=0.0694 acc=0.9787 sec=2.8
epoch=025 loss=0.0755 acc=0.9837 sec=2.9
epoch=026 loss=0.0562 acc=0.9824 sec=2.8
epoch=027 loss=0.0472 acc=0.9862 sec=2.8
epoch=028 loss=0.0433 acc=0.9875 sec=2.8
epoch=029 loss=0.0530 acc=0.9837 sec=2.9
epoch=030 loss=0.0596 acc=0.9812 sec=2.7
epoch=031 loss=0.0555 acc=0.9849 sec=2.7
epoch=032 loss=0.0536 acc=0.9837 sec=2.8
epoch=033 loss=0.0624 acc=0.9787 sec=2.8
epoch=034 loss=0.0676 acc=0.9799 sec=2.8
epoch=035 loss=0.0573 acc=0.9799 sec=2.8
epoch=036 loss=0.0634 acc=0.9837 sec=2.8
epoch=037 loss=0.0479 acc=0.9887 sec=2.8
epoch=038 loss=0.0433 acc=0.9912 sec=2.8
epoch=039 loss=0.0581 acc=0.9875 sec=2.8
epoch=040 loss=0.0473 acc=0.9837 sec=2.7
epoch=041 loss=0.0638 acc=0.9824 sec=2.8
epoch=042 loss=0.0596 acc=0.9824 sec=2.8
epoch=043 loss=0.0633 acc=0.9824 sec=2.8
epoch=044 loss=0.0591 acc=0.9812 sec=2.9
epoch=045 loss=0.0660 acc=0.9762 sec=2.8
epoch=046 loss=0.0645 acc=0.9812 sec=2.7
epoch=047 loss=0.0511 acc=0.9837 sec=2.8
epoch=048 loss=0.0427 acc=0.9875 sec=2.8
epoch=049 loss=0.0423 acc=0.9875 sec=2.9
epoch=050 loss=0.0358 acc=0.9887 sec=2.7
