scheme=M+MB+MP+MR+MUV fold=1 training_seed=42 epochs=50 batch_size=32 optimizer=AdamW lr=0.0001 weight_decay=0.0001 loss=CrossEntropyLoss scheduler=None early_stopping=False task=5class
epoch=001 loss=1.4721 acc=0.3229 sec=9.9
epoch=002 loss=1.3107 acc=0.4359 sec=7.8
epoch=003 loss=1.2073 acc=0.4925 sec=7.8
epoch=004 loss=1.0901 acc=0.5377 sec=7.7
epoch=005 loss=0.9858 acc=0.6030 sec=7.8
epoch=006 loss=0.8473 acc=0.6859 sec=7.6
epoch=007 loss=0.7730 acc=0.6935 sec=7.8
epoch=008 loss=0.6291 acc=0.7462 sec=7.7
epoch=009 loss=0.5636 acc=0.7889 sec=8.2
epoch=010 loss=0.4839 acc=0.8229 sec=8.1
epoch=011 loss=0.4185 acc=0.8467 sec=8.1
epoch=012 loss=0.4041 acc=0.8530 sec=7.9
epoch=013 loss=0.3044 acc=0.8957 sec=8.0
epoch=014 loss=0.2889 acc=0.9020 sec=7.9
epoch=015 loss=0.2586 acc=0.9146 sec=8.0
epoch=016 loss=0.2129 acc=0.9284 sec=8.2
epoch=017 loss=0.1714 acc=0.9523 sec=8.2
epoch=018 loss=0.1332 acc=0.9573 sec=7.9
epoch=019 loss=0.1233 acc=0.9686 sec=7.9
epoch=020 loss=0.1246 acc=0.9673 sec=7.9
epoch=021 loss=0.1066 acc=0.9749 sec=8.3
epoch=022 loss=0.0897 acc=0.9837 sec=8.0
epoch=023 loss=0.0771 acc=0.9711 sec=8.0
epoch=024 loss=0.0667 acc=0.9812 sec=7.9
epoch=025 loss=0.0548 acc=0.9799 sec=8.0
epoch=026 loss=0.0563 acc=0.9862 sec=7.9
epoch=027 loss=0.0547 acc=0.9874 sec=7.7
epoch=028 loss=0.0663 acc=0.9874 sec=7.9
epoch=029 loss=0.0551 acc=0.9824 sec=7.8
epoch=030 loss=0.0981 acc=0.9698 sec=8.1
epoch=031 loss=0.0673 acc=0.9837 sec=8.0
epoch=032 loss=0.0709 acc=0.9786 sec=8.1
epoch=033 loss=0.0598 acc=0.9824 sec=8.2
epoch=034 loss=0.0751 acc=0.9799 sec=8.4
epoch=035 loss=0.0521 acc=0.9887 sec=7.9
epoch=036 loss=0.0534 acc=0.9849 sec=7.9
epoch=037 loss=0.0619 acc=0.9849 sec=7.8
epoch=038 loss=0.0280 acc=0.9950 sec=8.0
epoch=039 loss=0.0538 acc=0.9849 sec=7.9
epoch=040 loss=0.0573 acc=0.9824 sec=7.9
epoch=041 loss=0.0512 acc=0.9849 sec=8.0
epoch=042 loss=0.0430 acc=0.9899 sec=7.8
epoch=043 loss=0.0364 acc=0.9899 sec=8.1
epoch=044 loss=0.0343 acc=0.9874 sec=8.3
epoch=045 loss=0.0417 acc=0.9925 sec=8.4
epoch=046 loss=0.0413 acc=0.9912 sec=8.1
epoch=047 loss=0.0359 acc=0.9899 sec=7.8
epoch=048 loss=0.0252 acc=0.9962 sec=8.0
epoch=049 loss=0.0146 acc=0.9987 sec=7.8
epoch=050 loss=0.0207 acc=0.9950 sec=8.0
