scheme=MB+MR fold=2 training_seed=42 epochs=50 batch_size=32 optimizer=AdamW lr=0.0001 weight_decay=0.0001 loss=CrossEntropyLoss scheduler=None early_stopping=False task=5class
epoch=001 loss=1.4714 acc=0.3212 sec=3.6
epoch=002 loss=1.2905 acc=0.4090 sec=3.3
epoch=003 loss=1.1794 acc=0.4780 sec=3.3
epoch=004 loss=1.0410 acc=0.5684 sec=3.2
epoch=005 loss=0.9492 acc=0.6248 sec=3.3
epoch=006 loss=0.8083 acc=0.6738 sec=3.2
epoch=007 loss=0.6640 acc=0.7516 sec=3.3
epoch=008 loss=0.5445 acc=0.7992 sec=3.2
epoch=009 loss=0.5071 acc=0.8130 sec=3.3
epoch=010 loss=0.4400 acc=0.8344 sec=3.1
epoch=011 loss=0.3669 acc=0.8758 sec=3.3
epoch=012 loss=0.2726 acc=0.9034 sec=3.2
epoch=013 loss=0.2241 acc=0.9247 sec=3.2
epoch=014 loss=0.1663 acc=0.9498 sec=3.2
epoch=015 loss=0.1459 acc=0.9498 sec=3.2
epoch=016 loss=0.1346 acc=0.9498 sec=3.2
epoch=017 loss=0.1486 acc=0.9486 sec=3.2
epoch=018 loss=0.1229 acc=0.9649 sec=3.3
epoch=019 loss=0.1213 acc=0.9661 sec=3.3
epoch=020 loss=0.1377 acc=0.9674 sec=3.3
epoch=021 loss=0.1041 acc=0.9686 sec=3.4
epoch=022 loss=0.1009 acc=0.9749 sec=3.3
epoch=023 loss=0.0807 acc=0.9787 sec=3.3
epoch=024 loss=0.0831 acc=0.9812 sec=3.4
epoch=025 loss=0.0565 acc=0.9849 sec=3.1
epoch=026 loss=0.0626 acc=0.9824 sec=3.2
epoch=027 loss=0.0469 acc=0.9875 sec=3.1
epoch=028 loss=0.0643 acc=0.9799 sec=3.2
epoch=029 loss=0.0637 acc=0.9812 sec=3.2
epoch=030 loss=0.0452 acc=0.9887 sec=3.2
epoch=031 loss=0.0591 acc=0.9787 sec=3.2
epoch=032 loss=0.0549 acc=0.9849 sec=3.3
epoch=033 loss=0.0483 acc=0.9862 sec=3.3
epoch=034 loss=0.0497 acc=0.9824 sec=3.2
epoch=035 loss=0.0447 acc=0.9912 sec=3.2
epoch=036 loss=0.0347 acc=0.9887 sec=3.3
epoch=037 loss=0.0492 acc=0.9849 sec=3.3
epoch=038 loss=0.0293 acc=0.9912 sec=3.2
epoch=039 loss=0.0489 acc=0.9824 sec=3.2
epoch=040 loss=0.0335 acc=0.9925 sec=3.3
epoch=041 loss=0.0176 acc=0.9962 sec=3.2
epoch=042 loss=0.0181 acc=0.9950 sec=3.3
epoch=043 loss=0.0362 acc=0.9900 sec=3.1
epoch=044 loss=0.0297 acc=0.9937 sec=3.3
epoch=045 loss=0.0225 acc=0.9937 sec=3.2
epoch=046 loss=0.0334 acc=0.9912 sec=3.3
epoch=047 loss=0.0240 acc=0.9937 sec=3.4
epoch=048 loss=0.0387 acc=0.9900 sec=3.5
epoch=049 loss=0.0399 acc=0.9862 sec=3.4
epoch=050 loss=0.0372 acc=0.9887 sec=3.3
