scheme=M+MB fold=2 training_seed=42 epochs=50 batch_size=32 optimizer=AdamW lr=0.0001 weight_decay=0.0001 loss=CrossEntropyLoss scheduler=None early_stopping=False task=5class
epoch=001 loss=1.4668 acc=0.3199 sec=3.9
epoch=002 loss=1.3363 acc=0.4141 sec=3.6
epoch=003 loss=1.2366 acc=0.4718 sec=3.5
epoch=004 loss=1.1203 acc=0.5471 sec=3.4
epoch=005 loss=1.0126 acc=0.5922 sec=3.3
epoch=006 loss=0.8747 acc=0.6637 sec=3.3
epoch=007 loss=0.7694 acc=0.7077 sec=3.3
epoch=008 loss=0.6751 acc=0.7491 sec=3.4
epoch=009 loss=0.6064 acc=0.7641 sec=3.5
epoch=010 loss=0.5179 acc=0.8068 sec=3.3
epoch=011 loss=0.4377 acc=0.8331 sec=3.3
epoch=012 loss=0.3285 acc=0.8934 sec=3.5
epoch=013 loss=0.2558 acc=0.9235 sec=3.2
epoch=014 loss=0.2414 acc=0.9184 sec=3.3
epoch=015 loss=0.1855 acc=0.9511 sec=3.3
epoch=016 loss=0.1736 acc=0.9473 sec=3.4
epoch=017 loss=0.1849 acc=0.9448 sec=3.3
epoch=018 loss=0.1455 acc=0.9486 sec=3.2
epoch=019 loss=0.1179 acc=0.9674 sec=3.2
epoch=020 loss=0.1024 acc=0.9699 sec=3.3
epoch=021 loss=0.1195 acc=0.9674 sec=3.4
epoch=022 loss=0.1285 acc=0.9624 sec=3.3
epoch=023 loss=0.1039 acc=0.9724 sec=3.4
epoch=024 loss=0.0968 acc=0.9762 sec=3.4
epoch=025 loss=0.0727 acc=0.9799 sec=3.5
epoch=026 loss=0.0513 acc=0.9875 sec=3.5
epoch=027 loss=0.0461 acc=0.9862 sec=3.6
epoch=028 loss=0.0455 acc=0.9875 sec=3.5
epoch=029 loss=0.0477 acc=0.9887 sec=3.5
epoch=030 loss=0.0859 acc=0.9737 sec=3.4
epoch=031 loss=0.0855 acc=0.9661 sec=3.4
epoch=032 loss=0.0980 acc=0.9624 sec=3.3
epoch=033 loss=0.0619 acc=0.9862 sec=3.3
epoch=034 loss=0.0449 acc=0.9912 sec=3.2
epoch=035 loss=0.0664 acc=0.9862 sec=3.3
epoch=036 loss=0.0521 acc=0.9875 sec=3.3
epoch=037 loss=0.0499 acc=0.9849 sec=3.3
epoch=038 loss=0.0257 acc=0.9975 sec=3.3
epoch=039 loss=0.0231 acc=0.9950 sec=3.3
epoch=040 loss=0.0282 acc=0.9925 sec=3.5
epoch=041 loss=0.0310 acc=0.9925 sec=3.4
epoch=042 loss=0.0553 acc=0.9799 sec=3.3
epoch=043 loss=0.0815 acc=0.9749 sec=3.4
epoch=044 loss=0.0598 acc=0.9824 sec=3.4
epoch=045 loss=0.0379 acc=0.9887 sec=3.4
epoch=046 loss=0.0260 acc=0.9925 sec=3.4
epoch=047 loss=0.0207 acc=0.9962 sec=3.3
epoch=048 loss=0.0219 acc=0.9925 sec=3.6
epoch=049 loss=0.0500 acc=0.9837 sec=3.3
epoch=050 loss=0.0325 acc=0.9900 sec=3.2
