scheme=M+MR fold=3 training_seed=2026 epochs=50 batch_size=32 optimizer=AdamW lr=0.0001 weight_decay=0.0001 loss=CrossEntropyLoss scheduler=None early_stopping=False task=5class
epoch=001 loss=1.4380 acc=0.3262 sec=3.7
epoch=002 loss=1.2545 acc=0.4529 sec=3.6
epoch=003 loss=1.1507 acc=0.5094 sec=3.4
epoch=004 loss=1.0302 acc=0.5659 sec=3.3
epoch=005 loss=0.8922 acc=0.6399 sec=3.2
epoch=006 loss=0.8262 acc=0.6499 sec=3.3
epoch=007 loss=0.6713 acc=0.7491 sec=3.2
epoch=008 loss=0.6064 acc=0.7616 sec=3.2
epoch=009 loss=0.5134 acc=0.8218 sec=3.2
epoch=010 loss=0.4511 acc=0.8381 sec=3.2
epoch=011 loss=0.3539 acc=0.8783 sec=3.3
epoch=012 loss=0.2776 acc=0.9134 sec=3.2
epoch=013 loss=0.2479 acc=0.9097 sec=3.2
epoch=014 loss=0.2059 acc=0.9322 sec=3.2
epoch=015 loss=0.1851 acc=0.9423 sec=3.3
epoch=016 loss=0.1438 acc=0.9624 sec=3.2
epoch=017 loss=0.1461 acc=0.9498 sec=3.2
epoch=018 loss=0.1558 acc=0.9511 sec=3.3
epoch=019 loss=0.1404 acc=0.9611 sec=3.2
epoch=020 loss=0.1205 acc=0.9724 sec=3.3
epoch=021 loss=0.1220 acc=0.9661 sec=3.3
epoch=022 loss=0.0904 acc=0.9724 sec=3.2
epoch=023 loss=0.0820 acc=0.9787 sec=3.3
epoch=024 loss=0.0495 acc=0.9849 sec=3.4
epoch=025 loss=0.0529 acc=0.9849 sec=3.4
epoch=026 loss=0.0501 acc=0.9925 sec=3.4
epoch=027 loss=0.0574 acc=0.9799 sec=3.4
epoch=028 loss=0.0490 acc=0.9887 sec=3.5
epoch=029 loss=0.0427 acc=0.9875 sec=3.5
epoch=030 loss=0.0466 acc=0.9912 sec=3.4
epoch=031 loss=0.0496 acc=0.9837 sec=3.2
epoch=032 loss=0.0502 acc=0.9849 sec=3.2
epoch=033 loss=0.0311 acc=0.9912 sec=3.2
epoch=034 loss=0.0861 acc=0.9762 sec=3.2
epoch=035 loss=0.0654 acc=0.9824 sec=3.4
epoch=036 loss=0.0607 acc=0.9812 sec=3.3
epoch=037 loss=0.0588 acc=0.9862 sec=3.2
epoch=038 loss=0.0410 acc=0.9849 sec=3.2
epoch=039 loss=0.0782 acc=0.9774 sec=3.3
epoch=040 loss=0.0574 acc=0.9787 sec=3.2
epoch=041 loss=0.0481 acc=0.9875 sec=3.3
epoch=042 loss=0.0229 acc=0.9975 sec=3.2
epoch=043 loss=0.0434 acc=0.9875 sec=3.3
epoch=044 loss=0.0444 acc=0.9875 sec=3.3
epoch=045 loss=0.0473 acc=0.9875 sec=3.2
epoch=046 loss=0.0471 acc=0.9837 sec=3.3
epoch=047 loss=0.0502 acc=0.9875 sec=3.2
epoch=048 loss=0.0287 acc=0.9912 sec=3.4
epoch=049 loss=0.0339 acc=0.9900 sec=3.2
epoch=050 loss=0.0268 acc=0.9925 sec=3.1
