scheme=MP (Soft) fold=5 training_seed=3407 epochs=50 batch_size=32 optimizer=AdamW lr=0.0001 weight_decay=0.0001 loss=soft-target CE (fixed table) scheduler=None early_stopping=False task=5class
epoch=001 loss=1.4720 acc=0.3174 sec=2.7
epoch=002 loss=1.3692 acc=0.4103 sec=2.5
epoch=003 loss=1.3114 acc=0.4467 sec=2.4
epoch=004 loss=1.2394 acc=0.4956 sec=2.5
epoch=005 loss=1.1427 acc=0.5872 sec=2.3
epoch=006 loss=1.0492 acc=0.6550 sec=2.5
epoch=007 loss=0.9663 acc=0.7164 sec=2.3
epoch=008 loss=0.9187 acc=0.7491 sec=2.5
epoch=009 loss=0.8674 acc=0.7842 sec=2.4
epoch=010 loss=0.7965 acc=0.8607 sec=2.5
epoch=011 loss=0.7677 acc=0.8808 sec=2.4
epoch=012 loss=0.7292 acc=0.8996 sec=2.5
epoch=013 loss=0.6920 acc=0.9285 sec=2.5
epoch=014 loss=0.6617 acc=0.9536 sec=2.5
epoch=015 loss=0.6584 acc=0.9473 sec=2.5
epoch=016 loss=0.6518 acc=0.9498 sec=2.5
epoch=017 loss=0.6421 acc=0.9661 sec=2.4
epoch=018 loss=0.6370 acc=0.9674 sec=2.4
epoch=019 loss=0.6136 acc=0.9912 sec=2.3
epoch=020 loss=0.6070 acc=0.9849 sec=2.3
epoch=021 loss=0.6111 acc=0.9900 sec=2.3
epoch=022 loss=0.6064 acc=0.9887 sec=2.4
epoch=023 loss=0.6061 acc=0.9862 sec=2.4
epoch=024 loss=0.6039 acc=0.9912 sec=2.4
epoch=025 loss=0.6004 acc=0.9900 sec=2.4
epoch=026 loss=0.5855 acc=0.9975 sec=2.4
epoch=027 loss=0.5952 acc=0.9950 sec=2.5
epoch=028 loss=0.5888 acc=0.9962 sec=2.4
epoch=029 loss=0.5934 acc=1.0000 sec=2.4
epoch=030 loss=0.5804 acc=0.9975 sec=2.3
epoch=031 loss=0.5836 acc=1.0000 sec=2.3
epoch=032 loss=0.5775 acc=1.0000 sec=2.4
epoch=033 loss=0.5808 acc=0.9962 sec=2.4
epoch=034 loss=0.5765 acc=0.9975 sec=2.5
epoch=035 loss=0.5770 acc=0.9987 sec=2.4
epoch=036 loss=0.5822 acc=0.9975 sec=2.4
epoch=037 loss=0.5782 acc=0.9975 sec=2.4
epoch=038 loss=0.5737 acc=1.0000 sec=2.4
epoch=039 loss=0.5796 acc=0.9987 sec=2.4
epoch=040 loss=0.5747 acc=0.9975 sec=2.4
epoch=041 loss=0.5726 acc=0.9987 sec=2.4
epoch=042 loss=0.5707 acc=1.0000 sec=2.5
epoch=043 loss=0.5737 acc=0.9987 sec=2.4
epoch=044 loss=0.5733 acc=1.0000 sec=2.5
epoch=045 loss=0.5704 acc=1.0000 sec=2.4
epoch=046 loss=0.5720 acc=0.9975 sec=2.4
epoch=047 loss=0.5651 acc=0.9987 sec=2.5
epoch=048 loss=0.5681 acc=0.9987 sec=2.3
epoch=049 loss=0.5653 acc=1.0000 sec=2.4
epoch=050 loss=0.5652 acc=0.9975 sec=2.4
