scheme=M+MB+MP+MR+MUV (Soft) fold=2 training_seed=2026 epochs=50 batch_size=32 optimizer=AdamW lr=0.0001 weight_decay=0.0001 loss=soft-target CE (fixed table) scheduler=None early_stopping=False task=5class
epoch=001 loss=1.4755 acc=0.3137 sec=8.6
epoch=002 loss=1.3399 acc=0.4203 sec=7.9
epoch=003 loss=1.2600 acc=0.4680 sec=7.9
epoch=004 loss=1.1650 acc=0.5496 sec=7.8
epoch=005 loss=1.0991 acc=0.6136 sec=7.8
epoch=006 loss=1.0073 acc=0.6763 sec=8.3
epoch=007 loss=0.9269 acc=0.7302 sec=7.7
epoch=008 loss=0.8857 acc=0.7503 sec=7.8
epoch=009 loss=0.8294 acc=0.8118 sec=7.9
epoch=010 loss=0.7832 acc=0.8532 sec=8.1
epoch=011 loss=0.7444 acc=0.8858 sec=8.3
epoch=012 loss=0.7324 acc=0.8846 sec=8.4
epoch=013 loss=0.6724 acc=0.9536 sec=7.7
epoch=014 loss=0.6766 acc=0.9385 sec=7.6
epoch=015 loss=0.6635 acc=0.9598 sec=7.6
epoch=016 loss=0.6382 acc=0.9636 sec=7.9
epoch=017 loss=0.6325 acc=0.9711 sec=7.5
epoch=018 loss=0.6210 acc=0.9774 sec=7.8
epoch=019 loss=0.6164 acc=0.9925 sec=7.6
epoch=020 loss=0.6070 acc=0.9900 sec=7.8
epoch=021 loss=0.6042 acc=0.9862 sec=7.6
epoch=022 loss=0.5960 acc=0.9900 sec=8.0
epoch=023 loss=0.6076 acc=0.9824 sec=8.2
epoch=024 loss=0.5897 acc=0.9925 sec=8.1
epoch=025 loss=0.5958 acc=0.9937 sec=7.8
epoch=026 loss=0.5835 acc=0.9975 sec=7.8
epoch=027 loss=0.5813 acc=0.9962 sec=7.8
epoch=028 loss=0.5849 acc=0.9975 sec=8.0
epoch=029 loss=0.5923 acc=0.9925 sec=8.0
epoch=030 loss=0.5786 acc=0.9987 sec=8.0
epoch=031 loss=0.5817 acc=0.9925 sec=7.8
epoch=032 loss=0.5883 acc=0.9950 sec=8.1
epoch=033 loss=0.5841 acc=0.9937 sec=7.9
epoch=034 loss=0.5785 acc=0.9937 sec=8.5
epoch=035 loss=0.5671 acc=1.0000 sec=8.5
epoch=036 loss=0.5719 acc=1.0000 sec=8.3
epoch=037 loss=0.5644 acc=1.0000 sec=7.9
epoch=038 loss=0.5636 acc=0.9975 sec=8.0
epoch=039 loss=0.5679 acc=0.9987 sec=7.8
epoch=040 loss=0.5691 acc=0.9987 sec=8.2
epoch=041 loss=0.5694 acc=0.9987 sec=7.9
epoch=042 loss=0.5605 acc=0.9987 sec=8.0
epoch=043 loss=0.5604 acc=0.9987 sec=8.0
epoch=044 loss=0.5618 acc=0.9987 sec=8.0
epoch=045 loss=0.5621 acc=0.9975 sec=7.9
epoch=046 loss=0.5629 acc=1.0000 sec=8.4
epoch=047 loss=0.5605 acc=1.0000 sec=8.4
epoch=048 loss=0.5594 acc=0.9975 sec=8.2
epoch=049 loss=0.5548 acc=1.0000 sec=7.8
epoch=050 loss=0.5535 acc=1.0000 sec=8.0
