scheme=M+MB (Soft) fold=2 training_seed=2026 epochs=50 batch_size=32 optimizer=AdamW lr=0.0001 weight_decay=0.0001 loss=soft-target CE (fixed table) scheduler=None early_stopping=False task=5class
epoch=001 loss=1.4919 acc=0.3112 sec=3.7
epoch=002 loss=1.3597 acc=0.4228 sec=3.6
epoch=003 loss=1.2742 acc=0.4580 sec=3.3
epoch=004 loss=1.1758 acc=0.5558 sec=3.3
epoch=005 loss=1.0824 acc=0.6248 sec=3.2
epoch=006 loss=0.9969 acc=0.6763 sec=3.4
epoch=007 loss=0.9323 acc=0.7365 sec=3.5
epoch=008 loss=0.8731 acc=0.7842 sec=3.3
epoch=009 loss=0.8356 acc=0.8043 sec=3.3
epoch=010 loss=0.7972 acc=0.8407 sec=3.3
epoch=011 loss=0.7481 acc=0.8808 sec=3.5
epoch=012 loss=0.7354 acc=0.8921 sec=3.3
epoch=013 loss=0.6882 acc=0.9335 sec=3.2
epoch=014 loss=0.6726 acc=0.9385 sec=3.3
epoch=015 loss=0.6667 acc=0.9360 sec=3.3
epoch=016 loss=0.6575 acc=0.9460 sec=3.3
epoch=017 loss=0.6417 acc=0.9624 sec=3.2
epoch=018 loss=0.6222 acc=0.9799 sec=3.2
epoch=019 loss=0.6285 acc=0.9774 sec=3.2
epoch=020 loss=0.6126 acc=0.9812 sec=3.3
epoch=021 loss=0.6065 acc=0.9849 sec=3.2
epoch=022 loss=0.6021 acc=0.9875 sec=3.2
epoch=023 loss=0.6064 acc=0.9862 sec=3.2
epoch=024 loss=0.5879 acc=0.9925 sec=3.3
epoch=025 loss=0.5977 acc=0.9900 sec=3.5
epoch=026 loss=0.5871 acc=1.0000 sec=3.4
epoch=027 loss=0.5833 acc=0.9975 sec=3.3
epoch=028 loss=0.5860 acc=0.9975 sec=3.6
epoch=029 loss=0.5881 acc=0.9962 sec=3.4
epoch=030 loss=0.5789 acc=1.0000 sec=3.5
epoch=031 loss=0.5797 acc=0.9987 sec=3.4
epoch=032 loss=0.5835 acc=0.9912 sec=3.3
epoch=033 loss=0.5837 acc=0.9937 sec=3.4
epoch=034 loss=0.5834 acc=0.9962 sec=3.5
epoch=035 loss=0.5723 acc=0.9975 sec=3.5
epoch=036 loss=0.5836 acc=0.9937 sec=3.4
epoch=037 loss=0.5786 acc=0.9962 sec=3.3
epoch=038 loss=0.5673 acc=1.0000 sec=3.4
epoch=039 loss=0.5737 acc=0.9975 sec=3.4
epoch=040 loss=0.5748 acc=0.9962 sec=3.2
epoch=041 loss=0.5813 acc=0.9975 sec=3.2
epoch=042 loss=0.5766 acc=0.9987 sec=3.4
epoch=043 loss=0.5708 acc=0.9987 sec=3.3
epoch=044 loss=0.5676 acc=1.0000 sec=3.3
epoch=045 loss=0.5675 acc=0.9975 sec=3.2
epoch=046 loss=0.5706 acc=0.9937 sec=3.3
epoch=047 loss=0.5670 acc=1.0000 sec=3.2
epoch=048 loss=0.5612 acc=1.0000 sec=3.5
epoch=049 loss=0.5571 acc=1.0000 sec=3.4
epoch=050 loss=0.5573 acc=1.0000 sec=3.3
