scheme=M+MR (Soft) fold=5 training_seed=3407 epochs=50 batch_size=32 optimizer=AdamW lr=0.0001 weight_decay=0.0001 loss=soft-target CE (fixed table) scheduler=None early_stopping=False task=5class
epoch=001 loss=1.4706 acc=0.3300 sec=3.8
epoch=002 loss=1.3168 acc=0.4379 sec=3.6
epoch=003 loss=1.2309 acc=0.5107 sec=3.6
epoch=004 loss=1.1518 acc=0.5571 sec=3.4
epoch=005 loss=1.0878 acc=0.6148 sec=3.3
epoch=006 loss=0.9994 acc=0.6738 sec=3.4
epoch=007 loss=0.9401 acc=0.7215 sec=3.3
epoch=008 loss=0.9081 acc=0.7302 sec=3.4
epoch=009 loss=0.8469 acc=0.8105 sec=3.4
epoch=010 loss=0.7855 acc=0.8394 sec=3.3
epoch=011 loss=0.7472 acc=0.8846 sec=3.4
epoch=012 loss=0.7064 acc=0.9197 sec=3.4
epoch=013 loss=0.6824 acc=0.9335 sec=3.3
epoch=014 loss=0.6542 acc=0.9561 sec=3.4
epoch=015 loss=0.6535 acc=0.9511 sec=3.3
epoch=016 loss=0.6402 acc=0.9711 sec=3.4
epoch=017 loss=0.6403 acc=0.9624 sec=3.4
epoch=018 loss=0.6312 acc=0.9737 sec=3.2
epoch=019 loss=0.6166 acc=0.9824 sec=3.2
epoch=020 loss=0.6124 acc=0.9812 sec=3.3
epoch=021 loss=0.5996 acc=0.9900 sec=3.4
epoch=022 loss=0.6030 acc=0.9887 sec=3.4
epoch=023 loss=0.6184 acc=0.9737 sec=3.2
epoch=024 loss=0.6014 acc=0.9912 sec=3.3
epoch=025 loss=0.5907 acc=0.9950 sec=3.3
epoch=026 loss=0.5884 acc=0.9925 sec=3.5
epoch=027 loss=0.5827 acc=1.0000 sec=3.6
epoch=028 loss=0.5797 acc=0.9975 sec=3.5
epoch=029 loss=0.5925 acc=0.9875 sec=3.6
epoch=030 loss=0.5784 acc=0.9950 sec=3.5
epoch=031 loss=0.5828 acc=0.9912 sec=3.5
epoch=032 loss=0.5733 acc=0.9950 sec=3.5
epoch=033 loss=0.5723 acc=0.9975 sec=3.3
epoch=034 loss=0.5674 acc=1.0000 sec=3.4
epoch=035 loss=0.5680 acc=0.9987 sec=3.2
epoch=036 loss=0.5740 acc=0.9975 sec=3.4
epoch=037 loss=0.5703 acc=0.9975 sec=3.3
epoch=038 loss=0.5673 acc=0.9987 sec=3.2
epoch=039 loss=0.5723 acc=0.9987 sec=3.2
epoch=040 loss=0.5651 acc=1.0000 sec=3.3
epoch=041 loss=0.5608 acc=1.0000 sec=3.4
epoch=042 loss=0.5637 acc=0.9975 sec=3.3
epoch=043 loss=0.5658 acc=0.9962 sec=3.2
epoch=044 loss=0.5642 acc=1.0000 sec=3.3
epoch=045 loss=0.5616 acc=0.9987 sec=3.4
epoch=046 loss=0.5602 acc=0.9987 sec=3.3
epoch=047 loss=0.5604 acc=1.0000 sec=3.2
epoch=048 loss=0.5612 acc=1.0000 sec=3.3
epoch=049 loss=0.5570 acc=1.0000 sec=3.3
epoch=050 loss=0.5550 acc=1.0000 sec=3.4
