step,modality,fold,training_seed,train_count,evaluation_count,train_class_0,train_class_1,evaluation_class_0,evaluation_class_1,parameter_count,accuracy,macro_f1,mae,sensitivity,specificity,class_0_precision,class_0_recall,class_0_f1,class_1_precision,class_1_recall,class_1_f1,confusion_matrix
step_02_N,M,1,42,794,202,305,489,78,124,23512130,0.7277227722772277,0.6940658130249209,0.2722772277227723,0.8629032258064516,0.5128205128205128,0.7017543859649122,0.5128205128205128,0.5925925925925926,0.7379310344827587,0.8629032258064516,0.7955390334572492,"[[40, 38], [17, 107]]"
step_02_N,M,2,42,796,200,306,490,77,123,23512130,0.76,0.7411282493797864,0.24,0.8373983739837398,0.6363636363636364,0.7101449275362319,0.6363636363636364,0.6712328767123288,0.7862595419847328,0.8373983739837398,0.811023622047244,"[[49, 28], [20, 103]]"
step_02_N,M,3,42,797,199,306,491,77,122,23512130,0.7135678391959799,0.6849254187383684,0.2864321608040201,0.8278688524590164,0.5324675324675324,0.6612903225806451,0.5324675324675324,0.5899280575539568,0.7372262773722628,0.8278688524590164,0.7799227799227799,"[[41, 36], [21, 101]]"
step_02_N,M,4,42,798,198,307,491,76,122,23512130,0.7626262626262627,0.7496974098281288,0.23737373737373738,0.8032786885245902,0.6973684210526315,0.6883116883116883,0.6973684210526315,0.6928104575163399,0.8099173553719008,0.8032786885245902,0.8065843621399177,"[[53, 23], [24, 98]]"
step_02_N,M,5,42,799,197,308,491,75,122,23512130,0.7106598984771574,0.6907378335949764,0.2893401015228426,0.7786885245901639,0.6,0.625,0.6,0.6122448979591836,0.76,0.7786885245901639,0.7692307692307693,"[[45, 30], [27, 95]]"
step_02_N,M,1,3407,794,202,305,489,78,124,23512130,0.7376237623762376,0.7051906925512874,0.2623762376237624,0.8709677419354839,0.5256410256410257,0.7192982456140351,0.5256410256410257,0.6074074074074075,0.7448275862068966,0.8709677419354839,0.8029739776951673,"[[41, 37], [16, 108]]"
step_02_N,M,2,3407,796,200,306,490,77,123,23512130,0.8,0.7816355497325036,0.2,0.8861788617886179,0.6623376623376623,0.7846153846153846,0.6623376623376623,0.7183098591549296,0.8074074074074075,0.8861788617886179,0.8449612403100776,"[[51, 26], [14, 109]]"
step_02_N,M,3,3407,797,199,306,491,77,122,23512130,0.7035175879396985,0.6922976124957412,0.2964824120603015,0.7295081967213115,0.6623376623376623,0.6071428571428571,0.6623376623376623,0.6335403726708074,0.7739130434782608,0.7295081967213115,0.751054852320675,"[[51, 26], [33, 89]]"
step_02_N,M,4,3407,798,198,307,491,76,122,23512130,0.7525252525252525,0.731833384007297,0.2474747474747475,0.8360655737704918,0.618421052631579,0.7014925373134329,0.618421052631579,0.6573426573426574,0.7786259541984732,0.8360655737704918,0.8063241106719368,"[[47, 29], [20, 102]]"
step_02_N,M,5,3407,799,197,308,491,75,122,23512130,0.7055837563451777,0.6948183760683762,0.29441624365482233,0.7213114754098361,0.68,0.6,0.68,0.6375000000000001,0.7857142857142857,0.7213114754098361,0.7521367521367521,"[[51, 24], [34, 88]]"
step_02_N,M,1,2026,794,202,305,489,78,124,23512130,0.6831683168316832,0.6276497695852535,0.31683168316831684,0.8709677419354839,0.38461538461538464,0.6521739130434783,0.38461538461538464,0.4838709677419355,0.6923076923076923,0.8709677419354839,0.7714285714285716,"[[30, 48], [16, 108]]"
step_02_N,M,2,2026,796,200,306,490,77,123,23512130,0.76,0.7344839030866246,0.24,0.8699186991869918,0.5844155844155844,0.7377049180327869,0.5844155844155844,0.6521739130434783,0.7697841726618705,0.8699186991869918,0.8167938931297709,"[[45, 32], [16, 107]]"
step_02_N,M,3,2026,797,199,306,491,77,122,23512130,0.7738693467336684,0.7558947798827859,0.22613065326633167,0.8524590163934426,0.6493506493506493,0.7352941176470589,0.6493506493506493,0.6896551724137931,0.7938931297709924,0.8524590163934426,0.8221343873517786,"[[50, 27], [18, 104]]"
step_02_N,M,4,2026,798,198,307,491,76,122,23512130,0.7424242424242424,0.7208878078443295,0.25757575757575757,0.8278688524590164,0.6052631578947368,0.6865671641791045,0.6052631578947368,0.6433566433566432,0.7709923664122137,0.8278688524590164,0.7984189723320158,"[[46, 30], [21, 101]]"
step_02_N,M,5,2026,799,197,308,491,75,122,23512130,0.7563451776649747,0.741639344262295,0.2436548223350254,0.8032786885245902,0.68,0.68,0.68,0.68,0.8032786885245902,0.8032786885245902,0.8032786885245902,"[[51, 24], [24, 98]]"
step_02_N,MB,1,42,794,202,305,489,78,124,23512130,0.7722772277227723,0.7450614574187884,0.22772277227722773,0.8951612903225806,0.5769230769230769,0.7758620689655172,0.5769230769230769,0.6617647058823529,0.7708333333333334,0.8951612903225806,0.8283582089552239,"[[45, 33], [13, 111]]"
step_02_N,MB,2,42,796,200,306,490,77,123,23512130,0.725,0.7089254055198329,0.275,0.7804878048780488,0.6363636363636364,0.6447368421052632,0.6363636363636364,0.6405228758169935,0.7741935483870968,0.7804878048780488,0.7773279352226721,"[[49, 28], [27, 96]]"
step_02_N,MB,3,42,797,199,306,491,77,122,23512130,0.7286432160804021,0.7043904049295775,0.271356783919598,0.8278688524590164,0.5714285714285714,0.676923076923077,0.5714285714285714,0.619718309859155,0.753731343283582,0.8278688524590164,0.7890625,"[[44, 33], [21, 101]]"
step_02_N,MB,4,42,798,198,307,491,76,122,23512130,0.7626262626262627,0.7377335625510808,0.23737373737373738,0.8688524590163934,0.5921052631578947,0.7377049180327869,0.5921052631578947,0.656934306569343,0.7737226277372263,0.8688524590163934,0.8185328185328186,"[[45, 31], [16, 106]]"
step_02_N,MB,5,42,799,197,308,491,75,122,23512130,0.6802030456852792,0.6600191754554171,0.3197969543147208,0.7459016393442623,0.5733333333333334,0.581081081081081,0.5733333333333334,0.5771812080536912,0.7398373983739838,0.7459016393442623,0.742857142857143,"[[43, 32], [31, 91]]"
step_02_N,MB,1,3407,794,202,305,489,78,124,23512130,0.7574257425742574,0.7330852412156514,0.24257425742574257,0.8629032258064516,0.5897435897435898,0.7301587301587301,0.5897435897435898,0.6524822695035462,0.7697841726618705,0.8629032258064516,0.8136882129277566,"[[46, 32], [17, 107]]"
step_02_N,MB,2,3407,796,200,306,490,77,123,23512130,0.785,0.7700473274686489,0.215,0.8455284552845529,0.6883116883116883,0.7361111111111112,0.6883116883116883,0.7114093959731544,0.8125,0.8455284552845529,0.8286852589641434,"[[53, 24], [19, 104]]"
step_02_N,MB,3,3407,797,199,306,491,77,122,23512130,0.7236180904522613,0.708016539949313,0.27638190954773867,0.7786885245901639,0.6363636363636364,0.6447368421052632,0.6363636363636364,0.6405228758169935,0.7723577235772358,0.7786885245901639,0.7755102040816326,"[[49, 28], [27, 95]]"
step_02_N,MB,4,3407,798,198,307,491,76,122,23512130,0.7676767676767676,0.7567307692307692,0.23232323232323232,0.7950819672131147,0.7236842105263158,0.6875,0.7236842105263158,0.7051282051282051,0.8220338983050848,0.7950819672131147,0.8083333333333333,"[[55, 21], [25, 97]]"
step_02_N,MB,5,3407,799,197,308,491,75,122,23512130,0.751269035532995,0.725837143912068,0.24873096446700507,0.8524590163934426,0.5866666666666667,0.7096774193548387,0.5866666666666667,0.6423357664233577,0.7703703703703704,0.8524590163934426,0.8093385214007783,"[[44, 31], [18, 104]]"
step_02_N,MB,1,2026,794,202,305,489,78,124,23512130,0.7821782178217822,0.7611009568863563,0.21782178217821782,0.8790322580645161,0.6282051282051282,0.765625,0.6282051282051282,0.6901408450704225,0.7898550724637681,0.8790322580645161,0.8320610687022901,"[[49, 29], [15, 109]]"
step_02_N,MB,2,2026,796,200,306,490,77,123,23512130,0.735,0.7149848081525101,0.265,0.8130081300813008,0.6103896103896104,0.6714285714285714,0.6103896103896104,0.6394557823129251,0.7692307692307693,0.8130081300813008,0.790513833992095,"[[47, 30], [23, 100]]"
step_02_N,MB,3,2026,797,199,306,491,77,122,23512130,0.7286432160804021,0.7079256360078278,0.271356783919598,0.8114754098360656,0.5974025974025974,0.6666666666666666,0.5974025974025974,0.6301369863013698,0.7615384615384615,0.8114754098360656,0.7857142857142857,"[[46, 31], [23, 99]]"
step_02_N,MB,4,2026,798,198,307,491,76,122,23512130,0.7424242424242424,0.7225443055364748,0.25757575757575757,0.819672131147541,0.618421052631579,0.6811594202898551,0.618421052631579,0.6482758620689655,0.7751937984496124,0.819672131147541,0.796812749003984,"[[47, 29], [22, 100]]"
