step,combination,modalities,input_channels,fold,training_seed,train_count,evaluation_count,train_class_0,train_class_1,evaluation_class_0,evaluation_class_1,parameter_count,accuracy,macro_f1,mae,sensitivity,specificity,class_0_precision,class_0_recall,class_0_f1,class_1_precision,class_1_recall,class_1_f1,confusion_matrix
step_03_N,M+MB,M+MB,6,1,42,794,202,305,489,78,124,23521538,0.7475247524752475,0.7203203474955884,0.2524752475247525,0.8629032258064516,0.5641025641025641,0.7213114754098361,0.5641025641025641,0.6330935251798561,0.7588652482269503,0.8629032258064516,0.8075471698113207,"[[44, 34], [17, 107]]"
step_03_N,M+MB,M+MB,6,2,42,796,200,306,490,77,123,23521538,0.735,0.6916363636363636,0.265,0.9024390243902439,0.4675324675324675,0.75,0.4675324675324675,0.5760000000000001,0.7302631578947368,0.9024390243902439,0.8072727272727273,"[[36, 41], [12, 111]]"
step_03_N,M+MB,M+MB,6,3,42,797,199,306,491,77,122,23521538,0.7386934673366834,0.7232563115104835,0.2613065326633166,0.7950819672131147,0.6493506493506493,0.6666666666666666,0.6493506493506493,0.6578947368421053,0.782258064516129,0.7950819672131147,0.7886178861788619,"[[50, 27], [25, 97]]"
step_03_N,M+MB,M+MB,6,4,42,798,198,307,491,76,122,23521538,0.7777777777777778,0.76832251888097,0.2222222222222222,0.7950819672131147,0.75,0.6951219512195121,0.75,0.721518987341772,0.8362068965517241,0.7950819672131147,0.8151260504201681,"[[57, 19], [25, 97]]"
step_03_N,M+MB,M+MB,6,5,42,799,197,308,491,75,122,23521538,0.7411167512690355,0.7247774277496233,0.25888324873096447,0.7950819672131147,0.6533333333333333,0.6621621621621622,0.6533333333333333,0.6577181208053691,0.7886178861788617,0.7950819672131147,0.7918367346938776,"[[49, 26], [25, 97]]"
step_03_N,M+MB,M+MB,6,1,3407,794,202,305,489,78,124,23521538,0.7475247524752475,0.7183629951611581,0.2524752475247525,0.8709677419354839,0.5512820512820513,0.7288135593220338,0.5512820512820513,0.6277372262773723,0.7552447552447552,0.8709677419354839,0.8089887640449438,"[[43, 35], [16, 108]]"
step_03_N,M+MB,M+MB,6,2,3407,796,200,306,490,77,123,23521538,0.78,0.7677119628339141,0.22,0.8211382113821138,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8211382113821138,0.8211382113821138,0.8211382113821138,"[[55, 22], [22, 101]]"
step_03_N,M+MB,M+MB,6,3,3407,797,199,306,491,77,122,23521538,0.7035175879396985,0.6835395272364626,0.2964824120603015,0.7786885245901639,0.5844155844155844,0.625,0.5844155844155844,0.6040268456375839,0.7480314960629921,0.7786885245901639,0.7630522088353414,"[[45, 32], [27, 95]]"
step_03_N,M+MB,M+MB,6,4,3407,798,198,307,491,76,122,23521538,0.7676767676767676,0.7606181665264928,0.23232323232323232,0.7622950819672131,0.7763157894736842,0.6704545454545454,0.7763157894736842,0.7195121951219512,0.8454545454545455,0.7622950819672131,0.8017241379310344,"[[59, 17], [29, 93]]"
step_03_N,M+MB,M+MB,6,5,3407,799,197,308,491,75,122,23521538,0.7055837563451777,0.6844343791427309,0.29441624365482233,0.7786885245901639,0.5866666666666667,0.6197183098591549,0.5866666666666667,0.6027397260273973,0.753968253968254,0.7786885245901639,0.7661290322580644,"[[44, 31], [27, 95]]"
