step,combination,modalities,modality,fold,training_seed,evaluation_count,baseline_accuracy,baseline_macro_f1,perturbed_accuracy,perturbed_macro_f1,delta_accuracy,delta_macro_f1,baseline_confusion_matrix,perturbed_confusion_matrix,replacement
step_04_N,M+MR,"['M', 'MR']",M,1,42,202,0.7772277227722773,0.760757994472957,0.698019801980198,0.6875364523900089,-0.07920792079207928,-0.07322154208294807,"[[52, 26], [19, 105]]","[[52, 26], [35, 89]]",zero_normalized_baseline
step_04_N,M+MR,"['M', 'MR']",MR,1,42,202,0.7772277227722773,0.760757994472957,0.38613861386138615,0.2785714285714286,-0.3910891089108911,-0.4821865659015284,"[[52, 26], [19, 105]]","[[78, 0], [124, 0]]",zero_normalized_baseline
step_04_N,M+MR,"['M', 'MR']",M,2,42,200,0.715,0.7024974555703437,0.635,0.4807781215548206,-0.07999999999999996,-0.22171933401552313,"[[51, 26], [31, 92]]","[[9, 68], [5, 118]]",zero_normalized_baseline
step_04_N,M+MR,"['M', 'MR']",MR,2,42,200,0.715,0.7024974555703437,0.385,0.2779783393501805,-0.32999999999999996,-0.4245191162201632,"[[51, 26], [31, 92]]","[[77, 0], [123, 0]]",zero_normalized_baseline
step_04_N,M+MR,"['M', 'MR']",M,3,42,199,0.7336683417085427,0.7070359156690091,0.6834170854271356,0.564460656591975,-0.05025125628140703,-0.14257525907703417,"[[43, 34], [19, 103]]","[[16, 61], [2, 120]]",zero_normalized_baseline
step_04_N,M+MR,"['M', 'MR']",MR,3,42,199,0.7336683417085427,0.7070359156690091,0.3869346733668342,0.27898550724637683,-0.3467336683417085,-0.4280504084226323,"[[43, 34], [19, 103]]","[[77, 0], [122, 0]]",zero_normalized_baseline
step_04_N,M+MR,"['M', 'MR']",M,4,42,198,0.7929292929292929,0.7756156886591669,0.6262626262626263,0.409288824383164,-0.16666666666666663,-0.36632686427600286,"[[51, 25], [16, 106]]","[[2, 74], [0, 122]]",zero_normalized_baseline
step_04_N,M+MR,"['M', 'MR']",MR,4,42,198,0.7929292929292929,0.7756156886591669,0.3838383838383838,0.2773722627737226,-0.4090909090909091,-0.49824342588544424,"[[51, 25], [16, 106]]","[[76, 0], [122, 0]]",zero_normalized_baseline
step_04_N,M+MR,"['M', 'MR']",M,5,42,197,0.766497461928934,0.7497238179407866,0.6243654822335025,0.3968056934789804,-0.14213197969543145,-0.35291812446180615,"[[50, 25], [21, 101]]","[[1, 74], [0, 122]]",zero_normalized_baseline
step_04_N,M+MR,"['M', 'MR']",MR,5,42,197,0.766497461928934,0.7497238179407866,0.38071065989847713,0.2757352941176471,-0.38578680203045684,-0.4739885238231395,"[[50, 25], [21, 101]]","[[75, 0], [122, 0]]",zero_normalized_baseline
step_04_N,M+MR,"['M', 'MR']",M,1,3407,202,0.7821782178217822,0.7578729432276343,0.6237623762376238,0.4185729434934101,-0.15841584158415845,-0.3392999997342242,"[[47, 31], [13, 111]]","[[3, 75], [1, 123]]",zero_normalized_baseline
step_04_N,M+MR,"['M', 'MR']",MR,1,3407,202,0.7821782178217822,0.7578729432276343,0.38613861386138615,0.2785714285714286,-0.39603960396039606,-0.47930151465620574,"[[47, 31], [13, 111]]","[[78, 0], [124, 0]]",zero_normalized_baseline
step_04_N,M+MR,"['M', 'MR']",M,2,3407,200,0.735,0.6916363636363636,0.625,0.40849402578966054,-0.10999999999999999,-0.28314233784670306,"[[36, 41], [12, 111]]","[[2, 75], [0, 123]]",zero_normalized_baseline
step_04_N,M+MR,"['M', 'MR']",MR,2,3407,200,0.735,0.6916363636363636,0.405,0.3192024943505249,-0.32999999999999996,-0.3724338692858387,"[[36, 41], [12, 111]]","[[76, 1], [118, 5]]",zero_normalized_baseline
