step,task,label_strategy,modality,fold,training_seed,train_count,evaluation_count,train_class_counts,evaluation_class_counts,parameter_count,accuracy,macro_f1,mae,class_0_precision,class_0_recall,class_0_f1,class_1_precision,class_1_recall,class_1_f1,class_2_precision,class_2_recall,class_2_f1,class_3_precision,class_3_recall,class_3_f1,class_4_precision,class_4_recall,class_4_f1,confusion_matrix
step_08_N,five_class,Soft Label epsilon=0.10 adjacent,M,1,42,794,202,"{""0"": 28, ""1"": 98, ""2"": 179, ""3"": 260, ""4"": 229}","{""0"": 8, ""1"": 25, ""2"": 45, ""3"": 66, ""4"": 58}",23518277,0.4504950495049505,0.3813422831502808,0.698019801980198,0.2,0.125,0.15384615384615385,0.36363636363636365,0.32,0.3404255319148936,0.3333333333333333,0.4222222222222222,0.3725490196078431,0.48148148148148145,0.3939393939393939,0.43333333333333324,0.578125,0.6379310344827587,0.6065573770491803,"[[1, 4, 2, 1, 0], [2, 8, 13, 2, 0], [1, 5, 19, 15, 5], [1, 1, 16, 26, 22], [0, 4, 7, 10, 37]]"
step_08_N,five_class,Soft Label epsilon=0.10 adjacent,M,2,42,796,200,"{""0"": 29, ""1"": 98, ""2"": 179, ""3"": 261, ""4"": 229}","{""0"": 7, ""1"": 25, ""2"": 45, ""3"": 65, ""4"": 58}",23518277,0.465,0.3816573956688267,0.675,0.0,0.0,0.0,0.4827586206896552,0.56,0.5185185185185185,0.3392857142857143,0.4222222222222222,0.3762376237623763,0.4444444444444444,0.36923076923076925,0.40336134453781514,0.6,0.6206896551724138,0.6101694915254238,"[[0, 4, 2, 1, 0], [1, 14, 6, 3, 1], [0, 7, 19, 12, 7], [0, 3, 22, 24, 16], [0, 1, 7, 14, 36]]"
step_08_N,five_class,Soft Label epsilon=0.10 adjacent,M,3,42,797,199,"{""0"": 29, ""1"": 98, ""2"": 179, ""3"": 261, ""4"": 230}","{""0"": 7, ""1"": 25, ""2"": 45, ""3"": 65, ""4"": 57}",23518277,0.457286432160804,0.3593939393939394,0.7437185929648241,0.0,0.0,0.0,0.4,0.4,0.4000000000000001,0.37209302325581395,0.35555555555555557,0.36363636363636365,0.47058823529411764,0.6153846153846154,0.5333333333333333,0.5813953488372093,0.43859649122807015,0.5,"[[0, 5, 1, 0, 1], [1, 10, 8, 4, 2], [0, 3, 16, 21, 5], [2, 3, 10, 40, 10], [0, 4, 8, 20, 25]]"
step_08_N,five_class,Soft Label epsilon=0.10 adjacent,M,4,42,798,198,"{""0"": 29, ""1"": 99, ""2"": 179, ""3"": 261, ""4"": 230}","{""0"": 7, ""1"": 24, ""2"": 45, ""3"": 65, ""4"": 57}",23518277,0.5151515151515151,0.44321397116766326,0.6111111111111112,0.2,0.14285714285714285,0.16666666666666666,0.4782608695652174,0.4583333333333333,0.4680851063829787,0.475,0.4222222222222222,0.4470588235294118,0.4936708860759494,0.6,0.5416666666666666,0.6274509803921569,0.5614035087719298,0.5925925925925926,"[[1, 4, 1, 1, 0], [2, 11, 5, 5, 1], [2, 5, 19, 14, 5], [0, 3, 10, 39, 13], [0, 0, 5, 20, 32]]"
step_08_N,five_class,Soft Label epsilon=0.10 adjacent,M,5,42,799,197,"{""0"": 29, ""1"": 99, ""2"": 180, ""3"": 261, ""4"": 230}","{""0"": 7, ""1"": 24, ""2"": 44, ""3"": 65, ""4"": 57}",23518277,0.4467005076142132,0.3599216520771872,0.7411167512690355,0.0,0.0,0.0,0.38235294117647056,0.5416666666666666,0.44827586206896547,0.32653061224489793,0.36363636363636365,0.3440860215053763,0.4727272727272727,0.4,0.4333333333333333,0.5689655172413793,0.5789473684210527,0.5739130434782609,"[[0, 5, 2, 0, 0], [1, 13, 7, 2, 1], [0, 5, 16, 15, 8], [0, 5, 18, 26, 16], [0, 6, 6, 12, 33]]"
step_08_N,five_class,Soft Label epsilon=0.10 adjacent,M,1,3407,794,202,"{""0"": 28, ""1"": 98, ""2"": 179, ""3"": 260, ""4"": 229}","{""0"": 8, ""1"": 25, ""2"": 45, ""3"": 66, ""4"": 58}",23518277,0.47029702970297027,0.38218304842395534,0.6633663366336634,0.0,0.0,0.0,0.52,0.52,0.52,0.30952380952380953,0.28888888888888886,0.29885057471264365,0.4375,0.5303030303030303,0.4794520547945205,0.6415094339622641,0.5862068965517241,0.6126126126126126,"[[0, 4, 3, 1, 0], [0, 13, 8, 3, 1], [1, 4, 13, 24, 3], [0, 3, 13, 35, 15], [1, 1, 5, 17, 34]]"
step_08_N,five_class,Soft Label epsilon=0.10 adjacent,M,2,3407,796,200,"{""0"": 29, ""1"": 98, ""2"": 179, ""3"": 261, ""4"": 229}","{""0"": 7, ""1"": 25, ""2"": 45, ""3"": 65, ""4"": 58}",23518277,0.48,0.39273332847990683,0.66,0.0,0.0,0.0,0.4,0.56,0.4666666666666667,0.42857142857142855,0.5333333333333333,0.4752475247524753,0.4603174603174603,0.4461538461538462,0.453125,0.6590909090909091,0.5,0.5686274509803921,"[[0, 4, 2, 1, 0], [2, 14, 7, 2, 0], [0, 7, 24, 11, 3], [0, 6, 18, 29, 12], [0, 4, 5, 20, 29]]"
step_08_N,five_class,Soft Label epsilon=0.10 adjacent,M,3,3407,797,199,"{""0"": 29, ""1"": 98, ""2"": 179, ""3"": 261, ""4"": 230}","{""0"": 7, ""1"": 25, ""2"": 45, ""3"": 65, ""4"": 57}",23518277,0.4271356783919598,0.4072749615975423,0.7738693467336684,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.48,0.48,0.48,0.31666666666666665,0.4222222222222222,0.36190476190476184,0.4745762711864407,0.4307692307692308,0.4516129032258065,0.5,0.42105263157894735,0.45714285714285713,"[[2, 2, 2, 0, 1], [1, 12, 9, 1, 2], [3, 6, 19, 13, 4], [1, 3, 16, 28, 17], [0, 2, 14, 17, 24]]"
step_08_N,five_class,Soft Label epsilon=0.10 adjacent,M,4,3407,798,198,"{""0"": 29, ""1"": 99, ""2"": 179, ""3"": 261, ""4"": 230}","{""0"": 7, ""1"": 24, ""2"": 45, ""3"": 65, ""4"": 57}",23518277,0.47474747474747475,0.40129477744787734,0.6919191919191919,0.2,0.14285714285714285,0.16666666666666666,0.4074074074074074,0.4583333333333333,0.4313725490196078,0.35714285714285715,0.3333333333333333,0.3448275862068965,0.5348837209302325,0.35384615384615387,0.425925925925926,0.5432098765432098,0.7719298245614035,0.6376811594202898,"[[1, 3, 0, 1, 2], [2, 11, 7, 3, 1], [2, 10, 15, 10, 8], [0, 2, 14, 23, 26], [0, 1, 6, 6, 44]]"
step_08_N,five_class,Soft Label epsilon=0.10 adjacent,M,5,3407,799,197,"{""0"": 29, ""1"": 99, ""2"": 180, ""3"": 261, ""4"": 230}","{""0"": 7, ""1"": 24, ""2"": 44, ""3"": 65, ""4"": 57}",23518277,0.4416243654822335,0.46043865388618654,0.7258883248730964,0.75,0.42857142857142855,0.5454545454545454,0.5,0.5416666666666666,0.52,0.32432432432432434,0.2727272727272727,0.2962962962962963,0.390625,0.38461538461538464,0.3875968992248063,0.5151515151515151,0.5964912280701754,0.5528455284552845,"[[3, 2, 0, 1, 1], [1, 13, 5, 4, 1], [0, 5, 12, 20, 7], [0, 3, 14, 25, 23], [0, 3, 6, 14, 34]]"
