step,source_step,combination,modalities,fold,training_seed,evaluation_count,checkpoint,parameter_count,baseline_accuracy,baseline_macro_f1,baseline_confusion_matrix,deeplift
step_10_N,step_09_N,M+MR,"['M', 'MR']",1,42,202,fold_01/M_MR/seed_42/checkpoints/last.pth,23527685,0.5099009900990099,0.4453848089171576,"[[1, 4, 2, 1, 0], [1, 14, 8, 2, 0], [0, 5, 17, 18, 5], [1, 2, 12, 31, 20], [0, 3, 5, 10, 40]]","{'M': {'mean_abs_attribution': 0.00011526299756879591, 'std_abs_attribution': 3.691167546329229e-05, 'mean_attribution_fraction': 0.453411005953751}, 'MR': {'mean_abs_attribution': 0.00014025928533438934, 'std_abs_attribution': 5.0746536937415406e-05, 'mean_attribution_fraction': 0.5465889962592928}}"
step_10_N,step_09_N,M+MR,"['M', 'MR']",2,42,200,fold_02/M_MR/seed_42/checkpoints/last.pth,23527685,0.495,0.4519118731531604,"[[1, 3, 1, 2, 0], [1, 17, 4, 2, 1], [0, 7, 19, 14, 5], [0, 5, 15, 35, 10], [0, 1, 5, 25, 27]]","{'M': {'mean_abs_attribution': 0.00012291378077861737, 'std_abs_attribution': 4.111558872785886e-05, 'mean_attribution_fraction': 0.45500395730137827}, 'MR': {'mean_abs_attribution': 0.0001483874260884477, 'std_abs_attribution': 5.411949124968076e-05, 'mean_attribution_fraction': 0.5449960391223431}}"
step_10_N,step_09_N,M+MR,"['M', 'MR']",3,42,199,fold_03/M_MR/seed_42/checkpoints/last.pth,23527685,0.4723618090452261,0.39135842212459393,"[[0, 3, 2, 0, 2], [0, 13, 5, 2, 5], [0, 4, 19, 13, 9], [0, 1, 13, 30, 21], [0, 0, 12, 13, 32]]","{'M': {'mean_abs_attribution': 0.00011137599204772212, 'std_abs_attribution': 3.0660094000107104e-05, 'mean_attribution_fraction': 0.4591831656257112}, 'MR': {'mean_abs_attribution': 0.00013198262465481257, 'std_abs_attribution': 3.968801109561948e-05, 'mean_attribution_fraction': 0.5408168370699763}}"
step_10_N,step_09_N,M+MR,"['M', 'MR']",4,42,198,fold_04/M_MR/seed_42/checkpoints/last.pth,23527685,0.5151515151515151,0.4574827467218771,"[[1, 2, 3, 1, 0], [0, 12, 9, 3, 0], [1, 8, 19, 14, 3], [0, 0, 12, 39, 14], [0, 0, 8, 18, 31]]","{'M': {'mean_abs_attribution': 0.00011633704722191047, 'std_abs_attribution': 4.0113878574327324e-05, 'mean_attribution_fraction': 0.4604211184713576}, 'MR': {'mean_abs_attribution': 0.00013571251794487716, 'std_abs_attribution': 4.456825883539558e-05, 'mean_attribution_fraction': 0.5395788798729578}}"
step_10_N,step_09_N,M+MR,"['M', 'MR']",5,42,197,fold_05/M_MR/seed_42/checkpoints/last.pth,23527685,0.4873096446700508,0.4514551083591331,"[[1, 3, 3, 0, 0], [1, 16, 6, 1, 0], [0, 6, 22, 13, 3], [0, 1, 16, 35, 13], [0, 1, 8, 26, 22]]","{'M': {'mean_abs_attribution': 0.0001372536890687974, 'std_abs_attribution': 4.161484243567906e-05, 'mean_attribution_fraction': 0.4468180699094298}, 'MR': {'mean_abs_attribution': 0.00017202494702618664, 'std_abs_attribution': 6.118669317584286e-05, 'mean_attribution_fraction': 0.5531819325110634}}"
step_10_N,step_09_N,M+MR,"['M', 'MR']",1,3407,202,fold_01/M_MR/seed_3407/checkpoints/last.pth,23527685,0.48514851485148514,0.3743764387949298,"[[0, 4, 3, 1, 0], [1, 9, 10, 5, 0], [0, 6, 16, 17, 6], [0, 2, 10, 30, 24], [0, 0, 7, 8, 43]]","{'M': {'mean_abs_attribution': 0.00015504726216382587, 'std_abs_attribution': 4.2901343340898255e-05, 'mean_attribution_fraction': 0.4502446092296355}, 'MR': {'mean_abs_attribution': 0.0001900798972813634, 'std_abs_attribution': 5.511818888015675e-05, 'mean_attribution_fraction': 0.549755387524567}}"
step_10_N,step_09_N,M+MR,"['M', 'MR']",2,3407,200,fold_02/M_MR/seed_3407/checkpoints/last.pth,23527685,0.51,0.4167483828063599,"[[0, 5, 0, 1, 1], [2, 13, 8, 2, 0], [0, 4, 27, 11, 3], [0, 4, 17, 36, 8], [0, 0, 8, 24, 26]]","{'M': {'mean_abs_attribution': 0.00014580308390577557, 'std_abs_attribution': 3.9924973393562076e-05, 'mean_attribution_fraction': 0.4486052948236465}, 'MR': {'mean_abs_attribution': 0.00018152566120988923, 'std_abs_attribution': 5.7597352162677455e-05, 'mean_attribution_fraction': 0.5513947051763535}}"
step_10_N,step_09_N,M+MR,"['M', 'MR']",3,3407,199,fold_03/M_MR/seed_3407/checkpoints/last.pth,23527685,0.5025125628140703,0.3981847427300755,"[[0, 5, 1, 0, 1], [1, 12, 6, 2, 4], [0, 7, 19, 11, 8], [0, 2, 10, 37, 16], [0, 2, 11, 12, 32]]","{'M': {'mean_abs_attribution': 0.0001284853771273936, 'std_abs_attribution': 3.659746236002079e-05, 'mean_attribution_fraction': 0.4526583982172923}, 'MR': {'mean_abs_attribution': 0.0001567912497294449, 'std_abs_attribution': 4.94484675987219e-05, 'mean_attribution_fraction': 0.5473416025315098}}"
step_10_N,step_09_N,M+MR,"['M', 'MR']",4,3407,198,fold_04/M_MR/seed_3407/checkpoints/last.pth,23527685,0.4595959595959596,0.3782417582417582,"[[0, 4, 2, 1, 0], [0, 13, 9, 1, 1], [2, 8, 20, 13, 2], [0, 2, 14, 31, 18], [0, 1, 10, 19, 27]]","{'M': {'mean_abs_attribution': 0.00016698203409870268, 'std_abs_attribution': 5.193430140597357e-05, 'mean_attribution_fraction': 0.4526105357540978}, 'MR': {'mean_abs_attribution': 0.00020290236393015625, 'std_abs_attribution': 6.579785742686025e-05, 'mean_attribution_fraction': 0.5473894624397008}}"
step_10_N,step_09_N,M+MR,"['M', 'MR']",5,3407,197,fold_05/M_MR/seed_3407/checkpoints/last.pth,23527685,0.45685279187817257,0.38128083157152926,"[[0, 4, 3, 0, 0], [4, 13, 7, 0, 0], [0, 3, 17, 17, 7], [0, 2, 17, 30, 16], [0, 2, 8, 17, 30]]","{'M': {'mean_abs_attribution': 0.0001489249157271972, 'std_abs_attribution': 4.5976550003818424e-05, 'mean_attribution_fraction': 0.4486698627774485}, 'MR': {'mean_abs_attribution': 0.00018613516158208032, 'std_abs_attribution': 6.957678101733576e-05, 'mean_attribution_fraction': 0.5513301369199898}}"
step_10_N,step_09_N,M+MR,"['M', 'MR']",1,2026,202,fold_01/M_MR/seed_2026/checkpoints/last.pth,23527685,0.4752475247524752,0.36457161531053156,"[[0, 6, 1, 1, 0], [2, 10, 7, 6, 0], [0, 6, 10, 27, 2], [1, 0, 7, 39, 19], [0, 2, 4, 15, 37]]","{'M': {'mean_abs_attribution': 0.00014805120040949592, 'std_abs_attribution': 4.0653530782771067e-05, 'mean_attribution_fraction': 0.4508009769833914}, 'MR': {'mean_abs_attribution': 0.00018122475098652564, 'std_abs_attribution': 5.2882721614147607e-05, 'mean_attribution_fraction': 0.5491990240493624}}"
