sample_id,label,fold,n_red_polygons,out_of_range_vertices,mask_area,area_ratio,bbox_x0,bbox_y0,bbox_x1,bbox_y1,bbox_width,bbox_height,bbox_max_side,upsample_factor,context_box_width,context_box_height
MR0001,3,4,8,0,20363,0.1380954318576389,63,68,325,299,262,231,262,1.465648854961832,368,325
MR0657,3,5,8,0,17831,0.12092420789930555,96,21,336,357,240,336,336,1.1428571428571428,336,384
MR0658,2,1,4,0,18898,0.12816026475694445,68,35,323,357,255,322,322,1.1925465838509317,357,384
MR0659,1,3,6,0,31357,0.2126532660590278,79,29,336,357,257,328,328,1.170731707317073,357,384
MR0660,4,1,8,0,22313,0.15131971571180555,48,20,319,366,271,346,346,1.1098265895953756,374,384
MR0661,3,1,8,0,21688,0.14708116319444445,54,21,334,362,280,341,341,1.1260997067448681,384,384
MR0662,2,3,7,0,16443,0.11151123046875,69,20,315,354,246,334,334,1.1497005988023952,346,384
MR0663,3,5,6,0,22519,0.1527167426215278,66,12,310,367,244,355,355,1.0816901408450703,342,384
MR0664,4,3,7,0,19881,0.13482666015625,65,50,319,358,254,308,308,1.2467532467532467,356,384
MR0665,3,3,7,0,20965,0.1421780056423611,99,31,336,358,237,327,327,1.1743119266055047,333,384
MR0666,4,1,5,0,19915,0.13505723741319445,48,40,274,364,226,324,324,1.1851851851851851,318,384
MR0667,4,1,7,0,20127,0.13649495442708334,56,46,316,362,260,316,316,1.2151898734177216,364,384
MR0668,3,4,6,0,21792,0.14778645833333334,97,45,336,359,239,314,314,1.2229299363057324,335,384
MR0669,3,1,8,0,17308,0.11737738715277778,48,50,257,362,209,312,312,1.2307692307692308,293,384
MR0670,3,4,7,0,20430,0.1385498046875,56,45,316,362,260,317,317,1.2113564668769716,364,384
MR0671,3,4,6,0,21057,0.14280192057291666,87,35,315,363,228,328,328,1.170731707317073,320,384
MR0672,3,4,6,0,16906,0.1146511501736111,49,49,261,363,212,314,314,1.2229299363057324,298,384
MR0673,3,1,6,0,20117,0.13642713758680555,70,51,324,358,254,307,307,1.250814332247557,356,384
MR0674,4,4,7,0,27412,0.18589952256944445,91,51,336,350,245,299,299,1.2842809364548495,342,384
MR0675,4,3,5,0,26535,0.17995198567708334,48,48,295,334,247,286,286,1.3426573426573427,345,384
MR0676,4,4,6,0,11687,0.0792575412326389,91,56,316,359,225,303,303,1.2673267326732673,315,384
MR0677,2,4,7,0,14583,0.09889729817708333,136,31,336,356,200,325,325,1.1815384615384616,280,384
MR0678,3,5,7,0,20747,0.14069959852430555,48,27,290,356,242,329,329,1.1671732522796352,339,384
MR0679,3,5,6,0,13905,0.09429931640625,87,23,312,361,225,338,338,1.136094674556213,315,384
MR0680,2,4,6,0,15783,0.10703531901041667,129,38,336,357,207,319,319,1.2037617554858935,291,384
MR0681,3,4,5,0,18163,0.12317572699652778,48,29,290,357,242,328,328,1.170731707317073,339,384
MR0682,2,3,6,0,27308,0.18519422743055555,62,76,334,361,272,285,285,1.3473684210526315,377,365
