run: seed=2026 fold=1 variant=mask label=Hard Label
train samples=794 eval samples=202 epochs=50
epoch 01/50 mean_loss=1.4394 lr=0.0001 elapsed=3.5s
epoch 02/50 mean_loss=1.2704 lr=0.0001 elapsed=3.5s
epoch 03/50 mean_loss=1.2086 lr=0.0001 elapsed=3.6s
epoch 04/50 mean_loss=1.1302 lr=0.0001 elapsed=3.5s
epoch 05/50 mean_loss=1.0874 lr=0.0001 elapsed=3.5s
epoch 06/50 mean_loss=0.9853 lr=0.0001 elapsed=3.4s
epoch 07/50 mean_loss=0.8820 lr=0.0001 elapsed=3.5s
epoch 08/50 mean_loss=0.8237 lr=0.0001 elapsed=3.6s
epoch 09/50 mean_loss=0.7282 lr=0.0001 elapsed=3.5s
epoch 10/50 mean_loss=0.6209 lr=0.0001 elapsed=3.5s
epoch 11/50 mean_loss=0.5026 lr=0.0001 elapsed=3.5s
epoch 12/50 mean_loss=0.4863 lr=0.0001 elapsed=3.7s
epoch 13/50 mean_loss=0.3841 lr=0.0001 elapsed=3.5s
epoch 14/50 mean_loss=0.3869 lr=0.0001 elapsed=3.5s
epoch 15/50 mean_loss=0.3276 lr=0.0001 elapsed=3.5s
epoch 16/50 mean_loss=0.2583 lr=0.0001 elapsed=3.5s
epoch 17/50 mean_loss=0.1855 lr=0.0001 elapsed=3.5s
epoch 18/50 mean_loss=0.2472 lr=0.0001 elapsed=3.5s
epoch 19/50 mean_loss=0.1701 lr=0.0001 elapsed=3.6s
epoch 20/50 mean_loss=0.1553 lr=0.0001 elapsed=3.5s
epoch 21/50 mean_loss=0.1421 lr=0.0001 elapsed=3.5s
epoch 22/50 mean_loss=0.1204 lr=0.0001 elapsed=3.5s
epoch 23/50 mean_loss=0.0940 lr=0.0001 elapsed=3.6s
epoch 24/50 mean_loss=0.0840 lr=0.0001 elapsed=3.5s
epoch 25/50 mean_loss=0.0783 lr=0.0001 elapsed=3.5s
epoch 26/50 mean_loss=0.0916 lr=0.0001 elapsed=3.6s
epoch 27/50 mean_loss=0.1264 lr=0.0001 elapsed=3.6s
epoch 28/50 mean_loss=0.0944 lr=0.0001 elapsed=3.6s
epoch 29/50 mean_loss=0.0770 lr=0.0001 elapsed=3.5s
epoch 30/50 mean_loss=0.0675 lr=0.0001 elapsed=3.5s
epoch 31/50 mean_loss=0.0412 lr=0.0001 elapsed=3.5s
epoch 32/50 mean_loss=0.0569 lr=0.0001 elapsed=3.6s
epoch 33/50 mean_loss=0.0390 lr=0.0001 elapsed=3.6s
epoch 34/50 mean_loss=0.0694 lr=0.0001 elapsed=3.5s
epoch 35/50 mean_loss=0.0318 lr=0.0001 elapsed=3.5s
epoch 36/50 mean_loss=0.0605 lr=0.0001 elapsed=3.5s
epoch 37/50 mean_loss=0.0447 lr=0.0001 elapsed=3.5s
epoch 38/50 mean_loss=0.0581 lr=0.0001 elapsed=3.5s
epoch 39/50 mean_loss=0.0825 lr=0.0001 elapsed=3.4s
epoch 40/50 mean_loss=0.0523 lr=0.0001 elapsed=3.5s
epoch 41/50 mean_loss=0.0364 lr=0.0001 elapsed=3.6s
epoch 42/50 mean_loss=0.0337 lr=0.0001 elapsed=3.5s
epoch 43/50 mean_loss=0.0458 lr=0.0001 elapsed=3.5s
epoch 44/50 mean_loss=0.0372 lr=0.0001 elapsed=3.5s
epoch 45/50 mean_loss=0.0787 lr=0.0001 elapsed=3.6s
epoch 46/50 mean_loss=0.0713 lr=0.0001 elapsed=3.5s
epoch 47/50 mean_loss=0.0528 lr=0.0001 elapsed=3.6s
epoch 48/50 mean_loss=0.0526 lr=0.0001 elapsed=3.5s
epoch 49/50 mean_loss=0.0690 lr=0.0001 elapsed=3.5s
epoch 50/50 mean_loss=0.0440 lr=0.0001 elapsed=3.6s
