run: seed=3407 fold=5 variant=crop label=Hard Label
train samples=799 eval samples=197 epochs=50
epoch 01/50 mean_loss=1.4590 lr=0.0001 elapsed=3.1s
epoch 02/50 mean_loss=1.2974 lr=0.0001 elapsed=3.0s
epoch 03/50 mean_loss=1.1824 lr=0.0001 elapsed=3.1s
epoch 04/50 mean_loss=1.0398 lr=0.0001 elapsed=3.1s
epoch 05/50 mean_loss=0.9365 lr=0.0001 elapsed=3.1s
epoch 06/50 mean_loss=0.7714 lr=0.0001 elapsed=3.1s
epoch 07/50 mean_loss=0.6781 lr=0.0001 elapsed=3.0s
epoch 08/50 mean_loss=0.6131 lr=0.0001 elapsed=3.1s
epoch 09/50 mean_loss=0.4496 lr=0.0001 elapsed=3.1s
epoch 10/50 mean_loss=0.3520 lr=0.0001 elapsed=3.0s
epoch 11/50 mean_loss=0.3178 lr=0.0001 elapsed=3.1s
epoch 12/50 mean_loss=0.2472 lr=0.0001 elapsed=3.0s
epoch 13/50 mean_loss=0.2359 lr=0.0001 elapsed=3.1s
epoch 14/50 mean_loss=0.1722 lr=0.0001 elapsed=3.1s
epoch 15/50 mean_loss=0.1549 lr=0.0001 elapsed=3.1s
epoch 16/50 mean_loss=0.1516 lr=0.0001 elapsed=3.1s
epoch 17/50 mean_loss=0.1593 lr=0.0001 elapsed=3.1s
epoch 18/50 mean_loss=0.1365 lr=0.0001 elapsed=3.1s
epoch 19/50 mean_loss=0.1130 lr=0.0001 elapsed=3.1s
epoch 20/50 mean_loss=0.1017 lr=0.0001 elapsed=3.1s
epoch 21/50 mean_loss=0.0998 lr=0.0001 elapsed=3.1s
epoch 22/50 mean_loss=0.0718 lr=0.0001 elapsed=3.1s
epoch 23/50 mean_loss=0.0451 lr=0.0001 elapsed=3.0s
epoch 24/50 mean_loss=0.0558 lr=0.0001 elapsed=3.1s
epoch 25/50 mean_loss=0.0604 lr=0.0001 elapsed=3.0s
epoch 26/50 mean_loss=0.0423 lr=0.0001 elapsed=3.1s
epoch 27/50 mean_loss=0.0704 lr=0.0001 elapsed=3.0s
epoch 28/50 mean_loss=0.1002 lr=0.0001 elapsed=3.0s
epoch 29/50 mean_loss=0.1469 lr=0.0001 elapsed=3.1s
epoch 30/50 mean_loss=0.0929 lr=0.0001 elapsed=3.0s
epoch 31/50 mean_loss=0.0670 lr=0.0001 elapsed=3.0s
epoch 32/50 mean_loss=0.0581 lr=0.0001 elapsed=3.1s
epoch 33/50 mean_loss=0.0469 lr=0.0001 elapsed=3.1s
epoch 34/50 mean_loss=0.0507 lr=0.0001 elapsed=3.1s
epoch 35/50 mean_loss=0.0356 lr=0.0001 elapsed=3.1s
epoch 36/50 mean_loss=0.0397 lr=0.0001 elapsed=3.1s
epoch 37/50 mean_loss=0.0350 lr=0.0001 elapsed=3.1s
epoch 38/50 mean_loss=0.0228 lr=0.0001 elapsed=3.1s
epoch 39/50 mean_loss=0.0239 lr=0.0001 elapsed=3.1s
epoch 40/50 mean_loss=0.0301 lr=0.0001 elapsed=3.0s
epoch 41/50 mean_loss=0.0399 lr=0.0001 elapsed=3.1s
epoch 42/50 mean_loss=0.0449 lr=0.0001 elapsed=3.0s
epoch 43/50 mean_loss=0.0604 lr=0.0001 elapsed=3.0s
epoch 44/50 mean_loss=0.0632 lr=0.0001 elapsed=3.1s
epoch 45/50 mean_loss=0.0620 lr=0.0001 elapsed=3.0s
epoch 46/50 mean_loss=0.0460 lr=0.0001 elapsed=3.1s
epoch 47/50 mean_loss=0.0383 lr=0.0001 elapsed=3.0s
epoch 48/50 mean_loss=0.0394 lr=0.0001 elapsed=3.0s
epoch 49/50 mean_loss=0.0311 lr=0.0001 elapsed=3.2s
epoch 50/50 mean_loss=0.0361 lr=0.0001 elapsed=3.1s
