run: seed=42 fold=4 variant=context label=Hard Label
train samples=798 eval samples=198 epochs=50
epoch 01/50 mean_loss=1.4659 lr=0.0001 elapsed=3.1s
epoch 02/50 mean_loss=1.2889 lr=0.0001 elapsed=3.0s
epoch 03/50 mean_loss=1.1619 lr=0.0001 elapsed=3.0s
epoch 04/50 mean_loss=1.0313 lr=0.0001 elapsed=3.0s
epoch 05/50 mean_loss=0.9294 lr=0.0001 elapsed=2.9s
epoch 06/50 mean_loss=0.7813 lr=0.0001 elapsed=3.0s
epoch 07/50 mean_loss=0.6309 lr=0.0001 elapsed=2.9s
epoch 08/50 mean_loss=0.5664 lr=0.0001 elapsed=3.1s
epoch 09/50 mean_loss=0.4550 lr=0.0001 elapsed=3.0s
epoch 10/50 mean_loss=0.4279 lr=0.0001 elapsed=2.9s
epoch 11/50 mean_loss=0.2968 lr=0.0001 elapsed=3.0s
epoch 12/50 mean_loss=0.2716 lr=0.0001 elapsed=2.9s
epoch 13/50 mean_loss=0.2301 lr=0.0001 elapsed=3.0s
epoch 14/50 mean_loss=0.2015 lr=0.0001 elapsed=3.0s
epoch 15/50 mean_loss=0.1846 lr=0.0001 elapsed=2.9s
epoch 16/50 mean_loss=0.1225 lr=0.0001 elapsed=2.9s
epoch 17/50 mean_loss=0.0943 lr=0.0001 elapsed=2.9s
epoch 18/50 mean_loss=0.0827 lr=0.0001 elapsed=2.9s
epoch 19/50 mean_loss=0.0722 lr=0.0001 elapsed=3.0s
epoch 20/50 mean_loss=0.0866 lr=0.0001 elapsed=3.0s
epoch 21/50 mean_loss=0.1199 lr=0.0001 elapsed=3.0s
epoch 22/50 mean_loss=0.1493 lr=0.0001 elapsed=2.9s
epoch 23/50 mean_loss=0.0886 lr=0.0001 elapsed=3.0s
epoch 24/50 mean_loss=0.0671 lr=0.0001 elapsed=3.0s
epoch 25/50 mean_loss=0.0599 lr=0.0001 elapsed=3.0s
epoch 26/50 mean_loss=0.0506 lr=0.0001 elapsed=3.0s
epoch 27/50 mean_loss=0.0688 lr=0.0001 elapsed=2.9s
epoch 28/50 mean_loss=0.0321 lr=0.0001 elapsed=3.0s
epoch 29/50 mean_loss=0.0349 lr=0.0001 elapsed=2.9s
epoch 30/50 mean_loss=0.0486 lr=0.0001 elapsed=3.0s
epoch 31/50 mean_loss=0.0452 lr=0.0001 elapsed=3.0s
epoch 32/50 mean_loss=0.0531 lr=0.0001 elapsed=3.0s
epoch 33/50 mean_loss=0.0583 lr=0.0001 elapsed=3.0s
epoch 34/50 mean_loss=0.0349 lr=0.0001 elapsed=3.1s
epoch 35/50 mean_loss=0.0581 lr=0.0001 elapsed=3.0s
epoch 36/50 mean_loss=0.0451 lr=0.0001 elapsed=3.0s
epoch 37/50 mean_loss=0.0495 lr=0.0001 elapsed=3.0s
epoch 38/50 mean_loss=0.0785 lr=0.0001 elapsed=3.0s
epoch 39/50 mean_loss=0.0582 lr=0.0001 elapsed=3.0s
epoch 40/50 mean_loss=0.0605 lr=0.0001 elapsed=3.0s
epoch 41/50 mean_loss=0.0732 lr=0.0001 elapsed=2.9s
epoch 42/50 mean_loss=0.0477 lr=0.0001 elapsed=2.9s
epoch 43/50 mean_loss=0.0381 lr=0.0001 elapsed=2.9s
epoch 44/50 mean_loss=0.0424 lr=0.0001 elapsed=3.0s
epoch 45/50 mean_loss=0.0382 lr=0.0001 elapsed=3.0s
epoch 46/50 mean_loss=0.0436 lr=0.0001 elapsed=3.0s
epoch 47/50 mean_loss=0.0634 lr=0.0001 elapsed=2.9s
epoch 48/50 mean_loss=0.0406 lr=0.0001 elapsed=2.9s
epoch 49/50 mean_loss=0.0427 lr=0.0001 elapsed=3.0s
epoch 50/50 mean_loss=0.0382 lr=0.0001 elapsed=2.9s
