run: seed=2026 fold=3 variant=background label=Hard Label
train samples=797 eval samples=199 epochs=50
epoch 01/50 mean_loss=1.4714 lr=0.0001 elapsed=3.5s
epoch 02/50 mean_loss=1.3034 lr=0.0001 elapsed=3.6s
epoch 03/50 mean_loss=1.2053 lr=0.0001 elapsed=3.5s
epoch 04/50 mean_loss=1.1039 lr=0.0001 elapsed=3.5s
epoch 05/50 mean_loss=1.0074 lr=0.0001 elapsed=3.5s
epoch 06/50 mean_loss=0.8712 lr=0.0001 elapsed=3.4s
epoch 07/50 mean_loss=0.7821 lr=0.0001 elapsed=3.5s
epoch 08/50 mean_loss=0.6780 lr=0.0001 elapsed=3.5s
epoch 09/50 mean_loss=0.5822 lr=0.0001 elapsed=3.5s
epoch 10/50 mean_loss=0.4906 lr=0.0001 elapsed=3.5s
epoch 11/50 mean_loss=0.3816 lr=0.0001 elapsed=3.5s
epoch 12/50 mean_loss=0.3315 lr=0.0001 elapsed=3.5s
epoch 13/50 mean_loss=0.3366 lr=0.0001 elapsed=3.5s
epoch 14/50 mean_loss=0.2256 lr=0.0001 elapsed=3.7s
epoch 15/50 mean_loss=0.1814 lr=0.0001 elapsed=3.5s
epoch 16/50 mean_loss=0.1598 lr=0.0001 elapsed=3.5s
epoch 17/50 mean_loss=0.1726 lr=0.0001 elapsed=3.5s
epoch 18/50 mean_loss=0.1573 lr=0.0001 elapsed=3.5s
epoch 19/50 mean_loss=0.1024 lr=0.0001 elapsed=3.5s
epoch 20/50 mean_loss=0.0806 lr=0.0001 elapsed=3.5s
epoch 21/50 mean_loss=0.0654 lr=0.0001 elapsed=3.6s
epoch 22/50 mean_loss=0.0578 lr=0.0001 elapsed=3.5s
epoch 23/50 mean_loss=0.0737 lr=0.0001 elapsed=3.5s
epoch 24/50 mean_loss=0.0682 lr=0.0001 elapsed=3.6s
epoch 25/50 mean_loss=0.0992 lr=0.0001 elapsed=3.5s
epoch 26/50 mean_loss=0.0701 lr=0.0001 elapsed=3.5s
epoch 27/50 mean_loss=0.0876 lr=0.0001 elapsed=3.6s
epoch 28/50 mean_loss=0.0540 lr=0.0001 elapsed=3.5s
epoch 29/50 mean_loss=0.0477 lr=0.0001 elapsed=3.5s
epoch 30/50 mean_loss=0.0624 lr=0.0001 elapsed=3.5s
epoch 31/50 mean_loss=0.0435 lr=0.0001 elapsed=3.5s
epoch 32/50 mean_loss=0.0574 lr=0.0001 elapsed=3.5s
epoch 33/50 mean_loss=0.0719 lr=0.0001 elapsed=3.6s
epoch 34/50 mean_loss=0.0512 lr=0.0001 elapsed=3.5s
epoch 35/50 mean_loss=0.0268 lr=0.0001 elapsed=3.5s
epoch 36/50 mean_loss=0.0342 lr=0.0001 elapsed=3.5s
epoch 37/50 mean_loss=0.0328 lr=0.0001 elapsed=3.5s
epoch 38/50 mean_loss=0.0331 lr=0.0001 elapsed=3.5s
epoch 39/50 mean_loss=0.0297 lr=0.0001 elapsed=3.5s
epoch 40/50 mean_loss=0.0395 lr=0.0001 elapsed=3.5s
epoch 41/50 mean_loss=0.0206 lr=0.0001 elapsed=3.5s
epoch 42/50 mean_loss=0.0240 lr=0.0001 elapsed=3.5s
epoch 43/50 mean_loss=0.0354 lr=0.0001 elapsed=3.5s
epoch 44/50 mean_loss=0.0313 lr=0.0001 elapsed=3.5s
epoch 45/50 mean_loss=0.0274 lr=0.0001 elapsed=3.5s
epoch 46/50 mean_loss=0.0437 lr=0.0001 elapsed=3.5s
epoch 47/50 mean_loss=0.0477 lr=0.0001 elapsed=3.6s
epoch 48/50 mean_loss=0.0326 lr=0.0001 elapsed=3.5s
epoch 49/50 mean_loss=0.0286 lr=0.0001 elapsed=3.5s
epoch 50/50 mean_loss=0.0362 lr=0.0001 elapsed=3.5s
