run: seed=3407 fold=1 variant=mask label=Soft Label
train samples=794 eval samples=202 epochs=50
epoch 01/50 mean_loss=1.4250 lr=0.0001 elapsed=3.5s
epoch 02/50 mean_loss=1.3138 lr=0.0001 elapsed=3.4s
epoch 03/50 mean_loss=1.2468 lr=0.0001 elapsed=3.5s
epoch 04/50 mean_loss=1.2184 lr=0.0001 elapsed=3.4s
epoch 05/50 mean_loss=1.1833 lr=0.0001 elapsed=3.4s
epoch 06/50 mean_loss=1.1083 lr=0.0001 elapsed=3.5s
epoch 07/50 mean_loss=1.0620 lr=0.0001 elapsed=3.5s
epoch 08/50 mean_loss=1.0346 lr=0.0001 elapsed=3.5s
epoch 09/50 mean_loss=0.9521 lr=0.0001 elapsed=3.4s
epoch 10/50 mean_loss=0.9016 lr=0.0001 elapsed=3.4s
epoch 11/50 mean_loss=0.8572 lr=0.0001 elapsed=3.4s
epoch 12/50 mean_loss=0.8331 lr=0.0001 elapsed=3.4s
epoch 13/50 mean_loss=0.8022 lr=0.0001 elapsed=3.4s
epoch 14/50 mean_loss=0.7678 lr=0.0001 elapsed=3.4s
epoch 15/50 mean_loss=0.7272 lr=0.0001 elapsed=3.4s
epoch 16/50 mean_loss=0.7061 lr=0.0001 elapsed=3.5s
epoch 17/50 mean_loss=0.6936 lr=0.0001 elapsed=3.4s
epoch 18/50 mean_loss=0.6847 lr=0.0001 elapsed=3.5s
epoch 19/50 mean_loss=0.6568 lr=0.0001 elapsed=3.5s
epoch 20/50 mean_loss=0.6453 lr=0.0001 elapsed=3.5s
epoch 21/50 mean_loss=0.6488 lr=0.0001 elapsed=3.5s
epoch 22/50 mean_loss=0.6449 lr=0.0001 elapsed=3.5s
epoch 23/50 mean_loss=0.6337 lr=0.0001 elapsed=3.5s
epoch 24/50 mean_loss=0.6214 lr=0.0001 elapsed=3.4s
epoch 25/50 mean_loss=0.6121 lr=0.0001 elapsed=3.5s
epoch 26/50 mean_loss=0.6015 lr=0.0001 elapsed=3.4s
epoch 27/50 mean_loss=0.5950 lr=0.0001 elapsed=3.4s
epoch 28/50 mean_loss=0.5880 lr=0.0001 elapsed=3.4s
epoch 29/50 mean_loss=0.5922 lr=0.0001 elapsed=3.4s
epoch 30/50 mean_loss=0.5942 lr=0.0001 elapsed=3.4s
epoch 31/50 mean_loss=0.5868 lr=0.0001 elapsed=3.4s
epoch 32/50 mean_loss=0.5898 lr=0.0001 elapsed=3.4s
epoch 33/50 mean_loss=0.5913 lr=0.0001 elapsed=3.4s
epoch 34/50 mean_loss=0.5805 lr=0.0001 elapsed=3.4s
epoch 35/50 mean_loss=0.5812 lr=0.0001 elapsed=3.5s
epoch 36/50 mean_loss=0.5763 lr=0.0001 elapsed=3.4s
epoch 37/50 mean_loss=0.5784 lr=0.0001 elapsed=3.4s
epoch 38/50 mean_loss=0.5687 lr=0.0001 elapsed=3.4s
epoch 39/50 mean_loss=0.5690 lr=0.0001 elapsed=3.4s
epoch 40/50 mean_loss=0.5693 lr=0.0001 elapsed=3.4s
epoch 41/50 mean_loss=0.5692 lr=0.0001 elapsed=3.4s
epoch 42/50 mean_loss=0.5763 lr=0.0001 elapsed=3.4s
epoch 43/50 mean_loss=0.5719 lr=0.0001 elapsed=3.4s
epoch 44/50 mean_loss=0.5666 lr=0.0001 elapsed=3.5s
epoch 45/50 mean_loss=0.5679 lr=0.0001 elapsed=3.4s
epoch 46/50 mean_loss=0.5633 lr=0.0001 elapsed=3.5s
epoch 47/50 mean_loss=0.5620 lr=0.0001 elapsed=3.5s
epoch 48/50 mean_loss=0.5586 lr=0.0001 elapsed=3.4s
epoch 49/50 mean_loss=0.5620 lr=0.0001 elapsed=3.4s
epoch 50/50 mean_loss=0.5615 lr=0.0001 elapsed=3.4s
