run: seed=2026 fold=1 variant=crop label=Soft Label
train samples=794 eval samples=202 epochs=50
epoch 01/50 mean_loss=1.4777 lr=0.0001 elapsed=3.0s
epoch 02/50 mean_loss=1.3146 lr=0.0001 elapsed=3.0s
epoch 03/50 mean_loss=1.2109 lr=0.0001 elapsed=2.9s
epoch 04/50 mean_loss=1.1315 lr=0.0001 elapsed=2.9s
epoch 05/50 mean_loss=1.0713 lr=0.0001 elapsed=3.0s
epoch 06/50 mean_loss=0.9534 lr=0.0001 elapsed=3.0s
epoch 07/50 mean_loss=0.8744 lr=0.0001 elapsed=2.9s
epoch 08/50 mean_loss=0.8405 lr=0.0001 elapsed=2.9s
epoch 09/50 mean_loss=0.7993 lr=0.0001 elapsed=3.0s
epoch 10/50 mean_loss=0.7492 lr=0.0001 elapsed=3.0s
epoch 11/50 mean_loss=0.7055 lr=0.0001 elapsed=3.0s
epoch 12/50 mean_loss=0.6972 lr=0.0001 elapsed=3.0s
epoch 13/50 mean_loss=0.6559 lr=0.0001 elapsed=3.0s
epoch 14/50 mean_loss=0.6544 lr=0.0001 elapsed=2.9s
epoch 15/50 mean_loss=0.6380 lr=0.0001 elapsed=2.9s
epoch 16/50 mean_loss=0.6229 lr=0.0001 elapsed=3.0s
epoch 17/50 mean_loss=0.6236 lr=0.0001 elapsed=3.0s
epoch 18/50 mean_loss=0.6212 lr=0.0001 elapsed=3.0s
epoch 19/50 mean_loss=0.6053 lr=0.0001 elapsed=3.0s
epoch 20/50 mean_loss=0.5976 lr=0.0001 elapsed=3.0s
epoch 21/50 mean_loss=0.5908 lr=0.0001 elapsed=2.9s
epoch 22/50 mean_loss=0.6030 lr=0.0001 elapsed=3.0s
epoch 23/50 mean_loss=0.5934 lr=0.0001 elapsed=3.0s
epoch 24/50 mean_loss=0.5949 lr=0.0001 elapsed=2.9s
epoch 25/50 mean_loss=0.5886 lr=0.0001 elapsed=2.9s
epoch 26/50 mean_loss=0.5877 lr=0.0001 elapsed=2.9s
epoch 27/50 mean_loss=0.5790 lr=0.0001 elapsed=2.9s
epoch 28/50 mean_loss=0.5799 lr=0.0001 elapsed=2.9s
epoch 29/50 mean_loss=0.5745 lr=0.0001 elapsed=3.0s
epoch 30/50 mean_loss=0.5760 lr=0.0001 elapsed=2.9s
epoch 31/50 mean_loss=0.5734 lr=0.0001 elapsed=2.9s
epoch 32/50 mean_loss=0.5815 lr=0.0001 elapsed=2.9s
epoch 33/50 mean_loss=0.5668 lr=0.0001 elapsed=3.0s
epoch 34/50 mean_loss=0.5665 lr=0.0001 elapsed=3.0s
epoch 35/50 mean_loss=0.5640 lr=0.0001 elapsed=3.0s
epoch 36/50 mean_loss=0.5672 lr=0.0001 elapsed=2.9s
epoch 37/50 mean_loss=0.5607 lr=0.0001 elapsed=3.0s
epoch 38/50 mean_loss=0.5620 lr=0.0001 elapsed=3.0s
epoch 39/50 mean_loss=0.5640 lr=0.0001 elapsed=2.9s
epoch 40/50 mean_loss=0.5609 lr=0.0001 elapsed=3.0s
epoch 41/50 mean_loss=0.5580 lr=0.0001 elapsed=3.0s
epoch 42/50 mean_loss=0.5601 lr=0.0001 elapsed=3.0s
epoch 43/50 mean_loss=0.5620 lr=0.0001 elapsed=2.9s
epoch 44/50 mean_loss=0.5570 lr=0.0001 elapsed=2.9s
epoch 45/50 mean_loss=0.5568 lr=0.0001 elapsed=2.9s
epoch 46/50 mean_loss=0.5558 lr=0.0001 elapsed=2.9s
epoch 47/50 mean_loss=0.5544 lr=0.0001 elapsed=3.0s
epoch 48/50 mean_loss=0.5516 lr=0.0001 elapsed=3.0s
epoch 49/50 mean_loss=0.5521 lr=0.0001 elapsed=2.9s
epoch 50/50 mean_loss=0.5516 lr=0.0001 elapsed=3.0s
