run: seed=3407 fold=1 variant=context label=Soft Label
train samples=794 eval samples=202 epochs=50
epoch 01/50 mean_loss=1.4628 lr=0.0001 elapsed=2.9s
epoch 02/50 mean_loss=1.3083 lr=0.0001 elapsed=2.9s
epoch 03/50 mean_loss=1.2064 lr=0.0001 elapsed=2.9s
epoch 04/50 mean_loss=1.1126 lr=0.0001 elapsed=2.9s
epoch 05/50 mean_loss=1.0416 lr=0.0001 elapsed=2.9s
epoch 06/50 mean_loss=0.9538 lr=0.0001 elapsed=2.9s
epoch 07/50 mean_loss=0.9028 lr=0.0001 elapsed=2.8s
epoch 08/50 mean_loss=0.8305 lr=0.0001 elapsed=3.0s
epoch 09/50 mean_loss=0.7864 lr=0.0001 elapsed=3.0s
epoch 10/50 mean_loss=0.7510 lr=0.0001 elapsed=2.9s
epoch 11/50 mean_loss=0.6995 lr=0.0001 elapsed=2.9s
epoch 12/50 mean_loss=0.6927 lr=0.0001 elapsed=2.8s
epoch 13/50 mean_loss=0.6755 lr=0.0001 elapsed=2.9s
epoch 14/50 mean_loss=0.6602 lr=0.0001 elapsed=2.8s
epoch 15/50 mean_loss=0.6363 lr=0.0001 elapsed=2.9s
epoch 16/50 mean_loss=0.6298 lr=0.0001 elapsed=2.9s
epoch 17/50 mean_loss=0.6240 lr=0.0001 elapsed=2.9s
epoch 18/50 mean_loss=0.6152 lr=0.0001 elapsed=2.9s
epoch 19/50 mean_loss=0.6093 lr=0.0001 elapsed=2.9s
epoch 20/50 mean_loss=0.6110 lr=0.0001 elapsed=2.8s
epoch 21/50 mean_loss=0.6075 lr=0.0001 elapsed=3.0s
epoch 22/50 mean_loss=0.6014 lr=0.0001 elapsed=3.0s
epoch 23/50 mean_loss=0.5982 lr=0.0001 elapsed=3.0s
epoch 24/50 mean_loss=0.5945 lr=0.0001 elapsed=2.9s
epoch 25/50 mean_loss=0.5903 lr=0.0001 elapsed=3.0s
epoch 26/50 mean_loss=0.5930 lr=0.0001 elapsed=2.9s
epoch 27/50 mean_loss=0.5843 lr=0.0001 elapsed=2.9s
epoch 28/50 mean_loss=0.5765 lr=0.0001 elapsed=2.9s
epoch 29/50 mean_loss=0.5807 lr=0.0001 elapsed=2.9s
epoch 30/50 mean_loss=0.5793 lr=0.0001 elapsed=2.9s
epoch 31/50 mean_loss=0.5678 lr=0.0001 elapsed=2.9s
epoch 32/50 mean_loss=0.5741 lr=0.0001 elapsed=2.8s
epoch 33/50 mean_loss=0.5732 lr=0.0001 elapsed=2.9s
epoch 34/50 mean_loss=0.5682 lr=0.0001 elapsed=2.9s
epoch 35/50 mean_loss=0.5683 lr=0.0001 elapsed=2.9s
epoch 36/50 mean_loss=0.5647 lr=0.0001 elapsed=2.9s
epoch 37/50 mean_loss=0.5720 lr=0.0001 elapsed=2.9s
epoch 38/50 mean_loss=0.5666 lr=0.0001 elapsed=3.0s
epoch 39/50 mean_loss=0.5620 lr=0.0001 elapsed=2.9s
epoch 40/50 mean_loss=0.5623 lr=0.0001 elapsed=2.9s
epoch 41/50 mean_loss=0.5633 lr=0.0001 elapsed=2.9s
epoch 42/50 mean_loss=0.5689 lr=0.0001 elapsed=2.8s
epoch 43/50 mean_loss=0.5634 lr=0.0001 elapsed=2.9s
epoch 44/50 mean_loss=0.5591 lr=0.0001 elapsed=2.9s
epoch 45/50 mean_loss=0.5572 lr=0.0001 elapsed=3.0s
epoch 46/50 mean_loss=0.5561 lr=0.0001 elapsed=3.0s
epoch 47/50 mean_loss=0.5546 lr=0.0001 elapsed=2.9s
epoch 48/50 mean_loss=0.5532 lr=0.0001 elapsed=2.9s
epoch 49/50 mean_loss=0.5558 lr=0.0001 elapsed=2.9s
epoch 50/50 mean_loss=0.5547 lr=0.0001 elapsed=2.8s
