run: seed=42 fold=5 variant=background label=Soft Label
train samples=799 eval samples=197 epochs=50
epoch 01/50 mean_loss=1.4781 lr=0.0001 elapsed=3.6s
epoch 02/50 mean_loss=1.3377 lr=0.0001 elapsed=3.5s
epoch 03/50 mean_loss=1.2714 lr=0.0001 elapsed=3.5s
epoch 04/50 mean_loss=1.1919 lr=0.0001 elapsed=3.5s
epoch 05/50 mean_loss=1.1357 lr=0.0001 elapsed=3.5s
epoch 06/50 mean_loss=1.0557 lr=0.0001 elapsed=3.5s
epoch 07/50 mean_loss=1.0122 lr=0.0001 elapsed=3.5s
epoch 08/50 mean_loss=0.9179 lr=0.0001 elapsed=3.4s
epoch 09/50 mean_loss=0.8360 lr=0.0001 elapsed=3.5s
epoch 10/50 mean_loss=0.8044 lr=0.0001 elapsed=3.5s
epoch 11/50 mean_loss=0.7767 lr=0.0001 elapsed=3.5s
epoch 12/50 mean_loss=0.7396 lr=0.0001 elapsed=3.5s
epoch 13/50 mean_loss=0.7078 lr=0.0001 elapsed=3.5s
epoch 14/50 mean_loss=0.6904 lr=0.0001 elapsed=3.6s
epoch 15/50 mean_loss=0.6707 lr=0.0001 elapsed=3.5s
epoch 16/50 mean_loss=0.6485 lr=0.0001 elapsed=3.6s
epoch 17/50 mean_loss=0.6389 lr=0.0001 elapsed=3.5s
epoch 18/50 mean_loss=0.6318 lr=0.0001 elapsed=3.5s
epoch 19/50 mean_loss=0.6219 lr=0.0001 elapsed=3.6s
epoch 20/50 mean_loss=0.6101 lr=0.0001 elapsed=3.5s
epoch 21/50 mean_loss=0.6139 lr=0.0001 elapsed=3.5s
epoch 22/50 mean_loss=0.5993 lr=0.0001 elapsed=3.5s
epoch 23/50 mean_loss=0.5941 lr=0.0001 elapsed=3.5s
epoch 24/50 mean_loss=0.5979 lr=0.0001 elapsed=3.5s
epoch 25/50 mean_loss=0.5899 lr=0.0001 elapsed=3.5s
epoch 26/50 mean_loss=0.5948 lr=0.0001 elapsed=3.5s
epoch 27/50 mean_loss=0.5912 lr=0.0001 elapsed=3.5s
epoch 28/50 mean_loss=0.5827 lr=0.0001 elapsed=3.5s
epoch 29/50 mean_loss=0.5833 lr=0.0001 elapsed=3.5s
epoch 30/50 mean_loss=0.5823 lr=0.0001 elapsed=3.6s
epoch 31/50 mean_loss=0.5862 lr=0.0001 elapsed=3.6s
epoch 32/50 mean_loss=0.5777 lr=0.0001 elapsed=3.5s
epoch 33/50 mean_loss=0.5765 lr=0.0001 elapsed=3.5s
epoch 34/50 mean_loss=0.5720 lr=0.0001 elapsed=3.5s
epoch 35/50 mean_loss=0.5729 lr=0.0001 elapsed=3.5s
epoch 36/50 mean_loss=0.5687 lr=0.0001 elapsed=3.5s
epoch 37/50 mean_loss=0.5694 lr=0.0001 elapsed=3.5s
epoch 38/50 mean_loss=0.5685 lr=0.0001 elapsed=3.5s
epoch 39/50 mean_loss=0.5671 lr=0.0001 elapsed=3.5s
epoch 40/50 mean_loss=0.5697 lr=0.0001 elapsed=3.5s
epoch 41/50 mean_loss=0.5691 lr=0.0001 elapsed=3.5s
epoch 42/50 mean_loss=0.5653 lr=0.0001 elapsed=3.5s
epoch 43/50 mean_loss=0.5771 lr=0.0001 elapsed=3.5s
epoch 44/50 mean_loss=0.5754 lr=0.0001 elapsed=3.5s
epoch 45/50 mean_loss=0.5708 lr=0.0001 elapsed=3.5s
epoch 46/50 mean_loss=0.5744 lr=0.0001 elapsed=3.5s
epoch 47/50 mean_loss=0.5695 lr=0.0001 elapsed=3.5s
epoch 48/50 mean_loss=0.5670 lr=0.0001 elapsed=3.5s
epoch 49/50 mean_loss=0.5622 lr=0.0001 elapsed=3.5s
epoch 50/50 mean_loss=0.5605 lr=0.0001 elapsed=3.5s
